filer_id,SERIALNO,filing_status,primary_filer_id,income,num_dependents,dependents,hh_id,weight,hh_weight,person_weight_sum,PUMA,PUMA10,secondary_filer_id,calibrated_weight
2020HU0486105_joint_2020HU0486105_1_2020HU0486105_2,2020HU0486105,married_filing_jointly,2020HU0486105_1,1114866.9168000002,0,[],2020HU0486105,12.0,9.0,15,308,308,2020HU0486105_2,6.0166173
2020HU0532902_joint_2020HU0532902_1_2020HU0532902_2,2020HU0532902,married_filing_jointly,2020HU0532902_1,1011449.2157000001,0,[],2020HU0532902,14.0,9.0,19,304,304,2020HU0532902_2,7.0193872
2021HU0054708_joint_2021HU0054708_1_2021HU0054708_2,2021HU0054708,married_filing_jointly,2021HU0054708_1,1009650.1349999999,0,[],2021HU0054708,21.5,15.0,28,303,303,2021HU0054708_2,10.779773
2021HU0572097_joint_2021HU0572097_1_2021HU0572097_2,2021HU0572097,married_filing_jointly,2021HU0572097_1,1117454.3399999999,0,[],2021HU0572097,21.5,15.0,28,303,303,2021HU0572097_2,10.779773
2021HU0671910_joint_2021HU0671910_1_2021HU0671910_2,2021HU0671910,married_filing_jointly,2021HU0671910_1,1290340.986825,0,[],2021HU0671910,20.0,14.0,26,303,303,2021HU0671910_2,10.027696
2021HU1138029_joint_2021HU1138029_1_2021HU1138029_2,2021HU1138029,married_filing_jointly,2021HU1138029_1,1067047.180275,0,[],2021HU1138029,6.5,5.0,8,301,301,2021HU1138029_2,3.259001
2022HU0314632_joint_2022HU0314632_1_2022HU0314632_2,2022HU0314632,married_filing_jointly,2022HU0314632_1,1091819.848,0,[],2022HU0314632,12.5,8.0,17,304,304,2022HU0314632_2,6.2673097
2022HU0409665_joint_2022HU0409665_1_2022HU0409665_2,2022HU0409665,married_filing_jointly,2022HU0409665_1,1072277.9549482,1,['2022HU0409665_3'],2022HU0409665,20.5,10.0,31,304,304,2022HU0409665_2,10.278388
2022HU0911826_joint_2022HU0911826_1_2022HU0911826_2,2022HU0911826,married_filing_jointly,2022HU0911826_1,1048394.8298964,2,['2022HU0911826_4' '2022HU0911826_3'],2022HU0911826,38.5,15.0,62,100,100,2022HU0911826_2,19.303312
2022HU1177247_joint_2022HU1177247_1_2022HU1177247_2,2022HU1177247,married_filing_jointly,2022HU1177247_1,1076932.0812445998,3,['2022HU1177247_5' '2022HU1177247_3' '2022HU1177247_4'],2022HU1177247,91.5,17.0,166,100,100,2022HU1177247_2,45.87671
2023HU0200225_married_filing_separate_2023HU0200225_1,2023HU0200225,married_filing_separately,2023HU0200225_1,1005520.0178599999,0,[],2023HU0200225,15.0,15.0,15,301,301,,7.9874187
2023HU1244422_married_filing_separate_2023HU1244422_1,2023HU1244422,married_filing_separately,2023HU1244422_1,1042966.914,1,['2023HU1244422_4'],2023HU1244422,25.5,15.0,36,305,305,,13.578612
