filing_status,bracket_label,income_min,income_max,soi_returns,model_returns,difference,pct_difference
single,"Under $2,400",0.0,2400.0,82072.0,901.85,-81170.15,-98.901146
single,"$2,400-$4,800",2400.0,4800.0,13773.0,527.0,-13246.0,-96.173676
single,"$4,800-$9,600",4800.0,9600.0,24317.0,23664.85,-652.1504,-2.6818702
single,"$9,600-$14,400",9600.0,14400.0,20638.0,26370.4,5732.4004,27.77595
single,"$14,400-$19,200",14400.0,19200.0,18647.0,22474.85,3827.8496,20.527966
single,"$19,200-$24,000",19200.0,24000.0,18863.0,21062.148,2199.1484,11.65853
single,"$24,000-$36,000",24000.0,36000.0,47514.0,53936.33,6422.328,13.516706
single,"$36,000-$48,000",36000.0,48000.0,40454.0,44521.297,4067.2969,10.054128
single,"$48,000-$150,000",48000.0,150000.0,76914.0,126407.75,49493.75,64.349464
single,"$150,000-$175,000",150000.0,175000.0,2060.0,4303.55,2243.5498,108.91018
single,"$175,000-$200,000",175000.0,200000.0,1220.0,2938.875,1718.875,140.8914
single,"Over $200,000",200000.0,inf,4733.0,7566.7,2833.7002,59.87112
married_filing_jointly,"Under $4,800",0.0,4800.0,40236.0,1022.59094,-39213.41,-97.45852
married_filing_jointly,"$4,800-$9,600",4800.0,9600.0,5632.0,1621.0708,-4010.9292,-71.21678
married_filing_jointly,"$9,600-$19,200",9600.0,19200.0,10798.0,4921.08,-5876.92,-54.426003
married_filing_jointly,"$19,200-$28,800",19200.0,28800.0,11317.0,6466.244,-4850.756,-42.862556
married_filing_jointly,"$28,800-$38,400",28800.0,38400.0,11443.0,7420.0273,-4022.9727,-35.156624
married_filing_jointly,"$38,400-$48,000",38400.0,48000.0,10914.0,8871.244,-2042.7559,-18.716839
married_filing_jointly,"$48,000-$72,000",48000.0,72000.0,27330.0,25413.809,-1916.1914,-7.0113115
married_filing_jointly,"$72,000-$96,000",72000.0,96000.0,26226.0,30102.406,3876.4062,14.780776
married_filing_jointly,"$96,000-$300,000",96000.0,300000.0,62358.0,114956.234,52598.234,84.348816
married_filing_jointly,"$300,000-$350,000",300000.0,350000.0,2401.0,3943.6875,1542.6875,64.25188
married_filing_jointly,"$350,000-$400,000",350000.0,400000.0,1588.0,2260.5781,672.5781,42.353786
married_filing_jointly,"Over $400,000",400000.0,inf,6115.0,7210.4844,1095.4844,17.914707
head_of_household,"Under $3,600",0.0,3600.0,6671.0,45.120003,-6625.88,-99.32364
head_of_household,"$3,600-$7,200",3600.0,7200.0,2619.0,1261.6055,-1357.3945,-51.828735
head_of_household,"$7,200-$14,400",7200.0,14400.0,5543.0,4006.4368,-1536.5632,-27.720789
head_of_household,"$14,400-$21,600",14400.0,21600.0,5904.0,3631.0007,-2272.9993,-38.49931
head_of_household,"$21,600-$28,800",21600.0,28800.0,7376.0,4418.0,-2958.0,-40.103035
head_of_household,"$28,800-$36,000",28800.0,36000.0,7732.0,5379.1187,-2352.8813,-30.430435
head_of_household,"$36,000-$54,000",36000.0,54000.0,13878.0,13766.488,-111.51172,-0.8035143
head_of_household,"$54,000-$72,000",54000.0,72000.0,7835.0,7966.3047,131.30469,1.6758734
head_of_household,"$72,000-$225,000",72000.0,225000.0,9117.0,25166.525,16049.525,176.03954
head_of_household,"$225,000-$262,500",225000.0,262500.0,176.0,268.52667,92.52667,52.57197
head_of_household,"$262,500-$300,000",262500.0,300000.0,118.0,158.86,40.86,34.627117
head_of_household,"Over $300,000",300000.0,inf,424.0,1380.4213,956.42126,225.57106
