income_bracket,head_of_household,married_filing_jointly,married_filing_separately,single,Total
"Under $2,400",45.120003,1841.851,483.34998,901.85,3272.171
"$2,400-$4,800",0.0,368.69,115.5,527.0,1011.19
"$4,800-$9,600",2474.1426,1621.0707,2370.5676,23664.85,30130.63
"$9,600-$14,400",2793.8994,2326.5574,1020.77496,26370.4,32511.633
"$14,400-$19,200",2647.6667,2594.5227,419.65,22474.85,28136.69
"$19,200-$24,000",2200.4773,2725.3237,103.95,21062.15,26091.902
"$24,000-$36,000",8579.976,8722.906,535.325,53936.324,71774.53
"$36,000-$48,000",9124.831,11309.285,379.3125,44521.3,65334.73
"$48,000-$150,000",34488.594,111762.984,4208.8677,126407.75,276868.2
"$150,000-$175,000",1635.6313,17804.918,1257.9175,4303.55,25002.016
"$175,000-$200,000",1025.164,14656.929,482.0375,2938.875,19103.004
"$200,000+",2432.908,39662.37,4568.725,7566.7,54230.703
