income_bracket,head_of_household,married_filing_jointly,married_filing_separately,single,Total
"Under $2,400",1.3789012,56.28835,14.771539,27.56121,100
"$2,400-$4,800",0.0,36.461002,11.422186,52.11681,100
"$4,800-$9,600",8.211387,5.3801417,7.8676333,78.54084,100
"$9,600-$14,400",8.593537,7.156077,3.1397223,81.110664,100
"$14,400-$19,200",9.410015,9.221137,1.4914689,79.87738,100
"$19,200-$24,000",8.433564,10.445094,0.39839944,80.72294,100
"$24,000-$36,000",11.954067,12.153205,0.7458426,75.14688,100
"$36,000-$48,000",13.96628,17.30976,0.58056796,68.143394,100
"$48,000-$150,000",12.456684,40.366856,1.5201702,45.656292,100
"$150,000-$175,000",6.541998,71.21393,5.0312643,17.21281,100
"$175,000-$200,000",5.3665066,76.725784,2.5233598,15.384361,100
"$200,000+",4.486219,73.136375,8.42461,13.952798,100
