alpha,tail_mult,weight_5m,weight_10m,weight_50m,total_tax_1m,gap_to_target,abs_gap
1.3,0.15,22.509396,7.313323,1.6922132,242.7164087104964,420.2835912895036,420.2835912895036
1.3,0.25,22.509396,7.313323,2.8203552,248.8083734321761,414.1916265678239,414.1916265678239
1.3,0.35,22.509396,7.313323,3.9484973,254.90034578325032,408.0996542167497,408.0996542167497
1.3,0.45,22.509396,7.313323,5.076639,260.99231050493,402.00768949507,402.00768949507
1.4,0.15,19.163145,5.80918,1.1443479,236.39172266008137,426.60827733991863,426.60827733991863
1.4,0.25,19.163145,5.80918,1.9072464,240.51137445451496,422.48862554548504,422.48862554548504
1.4,0.35,19.163145,5.80918,2.6701448,244.63102434159993,418.3689756584001,418.3689756584001
1.4,0.45,19.163145,5.80918,3.4330432,248.75067613603352,414.2493238639665,414.2493238639665
1.454,0.15,17.568005,5.1299696,0.9264323,233.65077302934407,429.34922697065593,429.34922697065593
1.454,0.25,17.568005,5.1299696,1.5440538,236.9859285164046,426.0140714835954,426.0140714835954
1.454,0.35,17.568005,5.1299696,2.1616752,240.32108400346516,422.67891599653484,422.67891599653484
1.454,0.45,17.568005,5.1299696,2.7792966,243.6562394905257,419.3437605094743,419.3437605094743
1.5,0.15,16.314352,4.614395,0.77385765,231.6170377540755,431.3829622459245,431.3829622459245
1.5,0.25,16.314352,4.614395,1.2897627,234.40292451860188,428.5970754813981,428.5970754813981
1.5,0.35,16.314352,4.614395,1.8056678,237.18881319047688,425.8111868095231,425.8111868095231
1.5,0.45,16.314352,4.614395,2.3215728,239.97469995500325,423.02530004499675,423.02530004499675
1.6,0.15,13.889058,3.6653445,0.5233161,227.97534940721272,435.0246505927873,435.0246505927873
1.6,0.25,13.889058,3.6653445,0.87219346,229.85928724290608,433.1407127570939,433.1407127570939
1.6,0.35,13.889058,3.6653445,1.2210708,231.74322603227375,431.25677396772625,431.25677396772625
1.6,0.45,13.889058,3.6653445,1.5699482,233.6271638679671,429.3728361320329,429.3728361320329
