PUMA,county,house_district,senate_district,region,island,population_density,urban_rural
70101,Honolulu,1,1,Urban Honolulu,Oahu,High,Urban
70102,Honolulu,2,1,Urban Honolulu,Oahu,High,Urban
70103,Honolulu,3,2,Urban Honolulu,Oahu,High,Urban
70104,Honolulu,4,2,Urban Honolulu,Oahu,High,Urban
70105,Honolulu,5,3,Urban Honolulu,Oahu,High,Urban
70106,Honolulu,6,3,Urban Honolulu,Oahu,High,Urban
70107,Honolulu,7,4,Urban Honolulu,Oahu,High,Urban
70108,Honolulu,8,4,Urban Honolulu,Oahu,High,Urban
70109,Honolulu,9,5,Urban Honolulu,Oahu,High,Urban
70110,Honolulu,10,5,Urban Honolulu,Oahu,High,Urban
70111,Honolulu,11,6,Urban Honolulu,Oahu,High,Urban
70112,Honolulu,12,6,Urban Honolulu,Oahu,High,Urban
70113,Honolulu,13,7,Urban Honolulu,Oahu,High,Urban
70114,Honolulu,14,7,Urban Honolulu,Oahu,High,Urban
70115,Honolulu,15,8,Urban Honolulu,Oahu,High,Urban
70116,Honolulu,16,8,Urban Honolulu,Oahu,High,Urban
70117,Honolulu,17,9,Urban Honolulu,Oahu,High,Urban
70118,Honolulu,18,9,Urban Honolulu,Oahu,High,Urban
70119,Honolulu,19,10,Urban Honolulu,Oahu,High,Urban
70120,Honolulu,20,10,Urban Honolulu,Oahu,High,Urban
70121,Honolulu,21,11,Urban Honolulu,Oahu,High,Urban
70122,Honolulu,22,11,Urban Honolulu,Oahu,High,Urban
70123,Honolulu,23,12,Urban Honolulu,Oahu,High,Urban
70124,Honolulu,24,12,Urban Honolulu,Oahu,High,Urban
70125,Honolulu,25,13,Urban Honolulu,Oahu,High,Urban
70126,Honolulu,26,13,Urban Honolulu,Oahu,Medium,Suburban
70127,Honolulu,27,14,West Oahu,Oahu,Medium,Suburban
70128,Honolulu,28,14,West Oahu,Oahu,Medium,Suburban
70129,Honolulu,29,15,West Oahu,Oahu,Medium,Suburban
70130,Honolulu,30,15,West Oahu,Oahu,Medium,Suburban
70131,Honolulu,31,16,West Oahu,Oahu,Medium,Suburban
70132,Honolulu,32,16,West Oahu,Oahu,Medium,Suburban
70133,Honolulu,33,17,Windward Oahu,Oahu,Medium,Suburban
70134,Honolulu,34,17,Windward Oahu,Oahu,Medium,Suburban
70135,Honolulu,35,18,Windward Oahu,Oahu,Medium,Suburban
70136,Honolulu,36,18,Windward Oahu,Oahu,Medium,Suburban
70137,Honolulu,37,19,North Shore,Oahu,Low,Rural
70138,Honolulu,38,19,North Shore,Oahu,Low,Rural
70139,Honolulu,39,20,Central Oahu,Oahu,Medium,Suburban
70140,Honolulu,40,20,Central Oahu,Oahu,Medium,Suburban
70141,Honolulu,41,21,Central Oahu,Oahu,Medium,Suburban
70142,Honolulu,42,21,Central Oahu,Oahu,Medium,Suburban
70143,Honolulu,43,22,Leeward Oahu,Oahu,Medium,Suburban
70144,Honolulu,44,22,Leeward Oahu,Oahu,Medium,Suburban
70145,Honolulu,45,23,Leeward Oahu,Oahu,Medium,Suburban
70146,Honolulu,46,23,Leeward Oahu,Oahu,Medium,Suburban
70147,Honolulu,47,24,East Honolulu,Oahu,Medium,Suburban
70148,Honolulu,48,24,East Honolulu,Oahu,Medium,Suburban
70149,Honolulu,49,25,East Honolulu,Oahu,Medium,Suburban
70150,Honolulu,50,25,East Honolulu,Oahu,Medium,Suburban
70151,Honolulu,51,25,East Honolulu,Oahu,Medium,Suburban
70201,Hawaii,1,1,Hilo,Big Island,Medium,Urban
70202,Hawaii,2,1,Hilo,Big Island,Medium,Urban
70203,Hawaii,3,2,Puna,Big Island,Low,Rural
70204,Hawaii,4,2,Puna,Big Island,Low,Rural
70205,Hawaii,5,3,Kau,Big Island,Low,Rural
70206,Hawaii,6,3,Kona,Big Island,Medium,Suburban
70207,Hawaii,7,4,Kona,Big Island,Medium,Suburban
70208,Hawaii,8,4,North Kohala,Big Island,Low,Rural
70209,Hawaii,9,4,Waimea,Big Island,Low,Rural
70301,Maui,1,1,Central Maui,Maui,Medium,Suburban
70302,Maui,2,1,West Maui,Maui,Medium,Suburban
70303,Maui,3,2,South Maui,Maui,Medium,Suburban
70304,Maui,4,2,Upcountry Maui,Maui,Low,Rural
70305,Maui,5,3,East Maui,Maui,Low,Rural
70306,Maui,6,3,Molokai,Molokai,Low,Rural
70307,Maui,7,3,Lanai,Lanai,Low,Rural
70401,Kauai,1,1,Lihue,Kauai,Medium,Suburban
70402,Kauai,2,1,North Kauai,Kauai,Low,Rural
70403,Kauai,3,2,West Kauai,Kauai,Low,Rural
