PUMA,county,house_district,senate_district,region,island,population_density,urban_rural
100,Honolulu,1,1,Urban Honolulu,Oahu,High,Urban
200,Hawaii,1,1,Hilo,Big Island,Medium,Urban
301,Honolulu,2,1,Urban Honolulu,Oahu,High,Urban
302,Honolulu,3,2,Urban Honolulu,Oahu,High,Urban
303,Honolulu,4,2,Urban Honolulu,Oahu,High,Urban
304,Honolulu,5,3,Urban Honolulu,Oahu,High,Urban
305,Honolulu,6,3,Urban Honolulu,Oahu,High,Urban
306,Honolulu,7,4,Urban Honolulu,Oahu,High,Urban
307,Honolulu,8,4,Urban Honolulu,Oahu,High,Urban
308,Honolulu,9,5,Urban Honolulu,Oahu,High,Urban
309,Honolulu,10,5,Urban Honolulu,Oahu,High,Urban
310,Honolulu,11,6,Urban Honolulu,Oahu,High,Urban
311,Honolulu,12,6,Urban Honolulu,Oahu,High,Urban
312,Honolulu,13,7,Urban Honolulu,Oahu,High,Urban
313,Honolulu,14,7,Urban Honolulu,Oahu,High,Urban
314,Honolulu,15,8,Urban Honolulu,Oahu,High,Urban
315,Honolulu,16,8,Urban Honolulu,Oahu,High,Urban
316,Honolulu,17,9,Urban Honolulu,Oahu,High,Urban
317,Honolulu,18,9,Urban Honolulu,Oahu,High,Urban
318,Honolulu,19,10,Urban Honolulu,Oahu,High,Urban
319,Honolulu,20,10,Urban Honolulu,Oahu,High,Urban
320,Honolulu,21,11,Urban Honolulu,Oahu,High,Urban
321,Honolulu,22,11,Urban Honolulu,Oahu,High,Urban
322,Honolulu,23,12,Urban Honolulu,Oahu,High,Urban
323,Honolulu,24,12,Urban Honolulu,Oahu,High,Urban
324,Honolulu,25,13,Urban Honolulu,Oahu,High,Urban
325,Honolulu,26,13,Urban Honolulu,Oahu,Medium,Suburban
326,Honolulu,27,14,West Oahu,Oahu,Medium,Suburban
327,Honolulu,28,14,West Oahu,Oahu,Medium,Suburban
328,Honolulu,29,15,West Oahu,Oahu,Medium,Suburban
329,Honolulu,30,15,West Oahu,Oahu,Medium,Suburban
330,Honolulu,31,16,West Oahu,Oahu,Medium,Suburban
331,Honolulu,32,16,West Oahu,Oahu,Medium,Suburban
332,Honolulu,33,17,Windward Oahu,Oahu,Medium,Suburban
333,Honolulu,34,17,Windward Oahu,Oahu,Medium,Suburban
334,Honolulu,35,18,Windward Oahu,Oahu,Medium,Suburban
335,Honolulu,36,18,Windward Oahu,Oahu,Medium,Suburban
336,Honolulu,37,19,North Shore,Oahu,Low,Rural
337,Honolulu,38,19,North Shore,Oahu,Low,Rural
338,Honolulu,39,20,Central Oahu,Oahu,Medium,Suburban
339,Honolulu,40,20,Central Oahu,Oahu,Medium,Suburban
340,Honolulu,41,21,Central Oahu,Oahu,Medium,Suburban
341,Honolulu,42,21,Central Oahu,Oahu,Medium,Suburban
342,Honolulu,43,22,Leeward Oahu,Oahu,Medium,Suburban
343,Honolulu,44,22,Leeward Oahu,Oahu,Medium,Suburban
344,Honolulu,45,23,Leeward Oahu,Oahu,Medium,Suburban
345,Honolulu,46,23,Leeward Oahu,Oahu,Medium,Suburban
346,Honolulu,47,24,East Honolulu,Oahu,Medium,Suburban
347,Honolulu,48,24,East Honolulu,Oahu,Medium,Suburban
348,Honolulu,49,25,East Honolulu,Oahu,Medium,Suburban
349,Honolulu,50,25,East Honolulu,Oahu,Medium,Suburban
350,Honolulu,51,25,East Honolulu,Oahu,Medium,Suburban
401,Hawaii,2,1,Hilo,Big Island,Medium,Urban
402,Hawaii,3,2,Puna,Big Island,Low,Rural
403,Hawaii,4,2,Puna,Big Island,Low,Rural
404,Hawaii,5,3,Kau,Big Island,Low,Rural
405,Hawaii,6,3,Kona,Big Island,Medium,Suburban
406,Hawaii,7,4,Kona,Big Island,Medium,Suburban
407,Hawaii,8,4,North Kohala,Big Island,Low,Rural
408,Hawaii,9,4,Waimea,Big Island,Low,Rural
501,Maui,1,1,Central Maui,Maui,Medium,Suburban
502,Maui,2,1,West Maui,Maui,Medium,Suburban
503,Maui,3,2,South Maui,Maui,Medium,Suburban
504,Maui,4,2,Upcountry Maui,Maui,Low,Rural
505,Maui,5,3,East Maui,Maui,Low,Rural
506,Maui,6,3,Molokai,Molokai,Low,Rural
507,Maui,7,3,Lanai,Lanai,Low,Rural
601,Kauai,1,1,Lihue,Kauai,Medium,Suburban
602,Kauai,2,1,North Kauai,Kauai,Low,Rural
603,Kauai,3,2,West Kauai,Kauai,Low,Rural
