PUMA,house_district,senate_district,county
200,5,4,Hawaii
200,5,3,Hawaii
200,5,1,Hawaii
200,1,4,Hawaii
200,1,3,Hawaii
200,1,1,Hawaii
200,6,4,Hawaii
200,6,3,Hawaii
200,6,1,Hawaii
200,7,4,Hawaii
200,7,3,Hawaii
200,7,1,Hawaii
200,3,4,Hawaii
200,3,3,Hawaii
200,3,1,Hawaii
200,2,4,Hawaii
200,2,3,Hawaii
200,2,1,Hawaii
304,46,19,Honolulu
304,46,23,Honolulu
304,46,21,Honolulu
304,43,19,Honolulu
304,43,23,Honolulu
304,43,21,Honolulu
304,35,19,Honolulu
304,35,23,Honolulu
304,35,21,Honolulu
304,24,19,Honolulu
304,24,23,Honolulu
304,24,21,Honolulu
304,32,19,Honolulu
304,32,23,Honolulu
304,32,21,Honolulu
304,39,19,Honolulu
304,39,23,Honolulu
304,39,21,Honolulu
305,28,15,Honolulu
305,28,13,Honolulu
305,28,9,Honolulu
305,30,15,Honolulu
305,30,13,Honolulu
305,30,9,Honolulu
305,20,15,Honolulu
305,20,13,Honolulu
305,20,9,Honolulu
305,31,15,Honolulu
305,31,13,Honolulu
305,31,9,Honolulu
305,46,15,Honolulu
305,46,13,Honolulu
305,46,9,Honolulu
305,24,15,Honolulu
305,24,13,Honolulu
305,24,9,Honolulu
307,22,10,Honolulu
307,22,23,Honolulu
307,22,11,Honolulu
307,46,10,Honolulu
307,46,23,Honolulu
307,46,11,Honolulu
307,23,10,Honolulu
307,23,23,Honolulu
307,23,11,Honolulu
307,18,10,Honolulu
307,18,23,Honolulu
307,18,11,Honolulu
307,25,10,Honolulu
307,25,23,Honolulu
307,25,11,Honolulu
307,27,10,Honolulu
307,27,23,Honolulu
307,27,11,Honolulu
303,41,14,Honolulu
303,41,19,Honolulu
303,41,13,Honolulu
303,27,14,Honolulu
303,27,19,Honolulu
303,27,13,Honolulu
303,28,14,Honolulu
303,28,19,Honolulu
303,28,13,Honolulu
303,30,14,Honolulu
303,30,19,Honolulu
303,30,13,Honolulu
303,36,14,Honolulu
303,36,19,Honolulu
303,36,13,Honolulu
303,46,14,Honolulu
303,46,19,Honolulu
303,46,13,Honolulu
306,24,10,Honolulu
306,24,11,Honolulu
306,24,16,Honolulu
306,26,10,Honolulu
306,26,11,Honolulu
306,26,16,Honolulu
306,20,10,Honolulu
306,20,11,Honolulu
306,20,16,Honolulu
306,25,10,Honolulu
306,25,11,Honolulu
306,25,16,Honolulu
306,48,10,Honolulu
306,48,11,Honolulu
306,48,16,Honolulu
306,19,10,Honolulu
306,19,11,Honolulu
306,19,16,Honolulu
308,50,16,Honolulu
308,50,23,Honolulu
308,50,24,Honolulu
308,19,16,Honolulu
308,19,23,Honolulu
308,19,24,Honolulu
308,20,16,Honolulu
308,20,23,Honolulu
308,20,24,Honolulu
308,21,16,Honolulu
308,21,23,Honolulu
308,21,24,Honolulu
308,25,16,Honolulu
308,25,23,Honolulu
308,25,24,Honolulu
308,32,16,Honolulu
308,32,23,Honolulu
308,32,24,Honolulu
301,32,15,Honolulu
301,32,11,Honolulu
301,32,25,Honolulu
301,31,15,Honolulu
301,31,11,Honolulu
301,31,25,Honolulu
301,20,15,Honolulu
301,20,11,Honolulu
301,20,25,Honolulu
301,22,15,Honolulu
301,22,11,Honolulu
301,22,25,Honolulu
301,30,15,Honolulu
301,30,11,Honolulu
301,30,25,Honolulu
301,35,15,Honolulu
301,35,11,Honolulu
301,35,25,Honolulu
302,50,24,Honolulu
302,50,15,Honolulu
302,50,25,Honolulu
302,46,24,Honolulu
302,46,15,Honolulu
302,46,25,Honolulu
302,51,24,Honolulu
302,51,15,Honolulu
302,51,25,Honolulu
302,30,24,Honolulu
302,30,15,Honolulu
302,30,25,Honolulu
302,20,24,Honolulu
302,20,15,Honolulu
302,20,25,Honolulu
302,25,24,Honolulu
302,25,15,Honolulu
302,25,25,Honolulu
100,11,7,Maui+Kauai
100,11,6,Maui+Kauai
100,11,8,Maui+Kauai
100,13,7,Maui+Kauai
100,13,6,Maui+Kauai
100,13,8,Maui+Kauai
100,12,7,Maui+Kauai
100,12,6,Maui+Kauai
100,12,8,Maui+Kauai
100,14,7,Maui+Kauai
100,14,6,Maui+Kauai
100,14,8,Maui+Kauai
100,9,7,Maui+Kauai
100,9,6,Maui+Kauai
100,9,8,Maui+Kauai
100,16,7,Maui+Kauai
100,16,6,Maui+Kauai
100,16,8,Maui+Kauai
