zip_code,actual_county,puma_county,puma_code
96701,Honolulu,Honolulu,304.0
96701,Honolulu,Honolulu,305.0
96701,Honolulu,Honolulu,307.0
96701,Honolulu,Honolulu,303.0
96701,Honolulu,Honolulu,306.0
96701,Honolulu,Honolulu,308.0
96701,Honolulu,Honolulu,301.0
96701,Honolulu,Honolulu,302.0
96702,Honolulu,Honolulu,304.0
96702,Honolulu,Honolulu,305.0
96702,Honolulu,Honolulu,307.0
96702,Honolulu,Honolulu,303.0
96702,Honolulu,Honolulu,306.0
96702,Honolulu,Honolulu,308.0
96702,Honolulu,Honolulu,301.0
96702,Honolulu,Honolulu,302.0
96703,Honolulu,Honolulu,304.0
96703,Honolulu,Honolulu,305.0
96703,Honolulu,Honolulu,307.0
96703,Honolulu,Honolulu,303.0
96703,Honolulu,Honolulu,306.0
96703,Honolulu,Honolulu,308.0
96703,Honolulu,Honolulu,301.0
96703,Honolulu,Honolulu,302.0
96704,Honolulu,Honolulu,304.0
96704,Honolulu,Honolulu,305.0
96704,Honolulu,Honolulu,307.0
96704,Honolulu,Honolulu,303.0
96704,Honolulu,Honolulu,306.0
96704,Honolulu,Honolulu,308.0
96704,Honolulu,Honolulu,301.0
96704,Honolulu,Honolulu,302.0
96705,Honolulu,Honolulu,304.0
96705,Honolulu,Honolulu,305.0
96705,Honolulu,Honolulu,307.0
96705,Honolulu,Honolulu,303.0
96705,Honolulu,Honolulu,306.0
96705,Honolulu,Honolulu,308.0
96705,Honolulu,Honolulu,301.0
96705,Honolulu,Honolulu,302.0
96706,Honolulu,Honolulu,304.0
96706,Honolulu,Honolulu,305.0
96706,Honolulu,Honolulu,307.0
96706,Honolulu,Honolulu,303.0
96706,Honolulu,Honolulu,306.0
96706,Honolulu,Honolulu,308.0
96706,Honolulu,Honolulu,301.0
96706,Honolulu,Honolulu,302.0
96707,Honolulu,Honolulu,304.0
96707,Honolulu,Honolulu,305.0
96707,Honolulu,Honolulu,307.0
96707,Honolulu,Honolulu,303.0
96707,Honolulu,Honolulu,306.0
96707,Honolulu,Honolulu,308.0
96707,Honolulu,Honolulu,301.0
96707,Honolulu,Honolulu,302.0
96708,Honolulu,Honolulu,304.0
96708,Honolulu,Honolulu,305.0
96708,Honolulu,Honolulu,307.0
96708,Honolulu,Honolulu,303.0
96708,Honolulu,Honolulu,306.0
96708,Honolulu,Honolulu,308.0
96708,Honolulu,Honolulu,301.0
96708,Honolulu,Honolulu,302.0
96709,Honolulu,Honolulu,304.0
96709,Honolulu,Honolulu,305.0
96709,Honolulu,Honolulu,307.0
96709,Honolulu,Honolulu,303.0
96709,Honolulu,Honolulu,306.0
96709,Honolulu,Honolulu,308.0
96709,Honolulu,Honolulu,301.0
96709,Honolulu,Honolulu,302.0
96710,Honolulu,Honolulu,304.0
96710,Honolulu,Honolulu,305.0
96710,Honolulu,Honolulu,307.0
96710,Honolulu,Honolulu,303.0
96710,Honolulu,Honolulu,306.0
96710,Honolulu,Honolulu,308.0
96710,Honolulu,Honolulu,301.0
96710,Honolulu,Honolulu,302.0
96711,Honolulu,Honolulu,304.0
96711,Honolulu,Honolulu,305.0
96711,Honolulu,Honolulu,307.0
96711,Honolulu,Honolulu,303.0
96711,Honolulu,Honolulu,306.0
96711,Honolulu,Honolulu,308.0
96711,Honolulu,Honolulu,301.0
96711,Honolulu,Honolulu,302.0
96712,Honolulu,Honolulu,304.0
96712,Honolulu,Honolulu,305.0
96712,Honolulu,Honolulu,307.0
96712,Honolulu,Honolulu,303.0
96712,Honolulu,Honolulu,306.0
96712,Honolulu,Honolulu,308.0
96712,Honolulu,Honolulu,301.0
96712,Honolulu,Honolulu,302.0
96713,Honolulu,Honolulu,304.0
96713,Honolulu,Honolulu,305.0
96713,Honolulu,Honolulu,307.0
96713,Honolulu,Honolulu,303.0
96713,Honolulu,Honolulu,306.0
96713,Honolulu,Honolulu,308.0
96713,Honolulu,Honolulu,301.0
96713,Honolulu,Honolulu,302.0
96714,Honolulu,Honolulu,304.0
96714,Honolulu,Honolulu,305.0
96714,Honolulu,Honolulu,307.0
96714,Honolulu,Honolulu,303.0
96714,Honolulu,Honolulu,306.0
96714,Honolulu,Honolulu,308.0
96714,Honolulu,Honolulu,301.0
96714,Honolulu,Honolulu,302.0
96715,Honolulu,Honolulu,304.0
96715,Honolulu,Honolulu,305.0
96715,Honolulu,Honolulu,307.0
96715,Honolulu,Honolulu,303.0
96715,Honolulu,Honolulu,306.0
96715,Honolulu,Honolulu,308.0
96715,Honolulu,Honolulu,301.0
96715,Honolulu,Honolulu,302.0
96716,Honolulu,Honolulu,304.0
96716,Honolulu,Honolulu,305.0
96716,Honolulu,Honolulu,307.0
96716,Honolulu,Honolulu,303.0
96716,Honolulu,Honolulu,306.0
96716,Honolulu,Honolulu,308.0
96716,Honolulu,Honolulu,301.0
96716,Honolulu,Honolulu,302.0
96717,Honolulu,Honolulu,304.0
96717,Honolulu,Honolulu,305.0
96717,Honolulu,Honolulu,307.0
96717,Honolulu,Honolulu,303.0
96717,Honolulu,Honolulu,306.0
96717,Honolulu,Honolulu,308.0
96717,Honolulu,Honolulu,301.0
96717,Honolulu,Honolulu,302.0
96718,Honolulu,Honolulu,304.0
96718,Honolulu,Honolulu,305.0
96718,Honolulu,Honolulu,307.0
96718,Honolulu,Honolulu,303.0
96718,Honolulu,Honolulu,306.0
96718,Honolulu,Honolulu,308.0
96718,Honolulu,Honolulu,301.0
96718,Honolulu,Honolulu,302.0
96719,Honolulu,Honolulu,304.0
96719,Honolulu,Honolulu,305.0
96719,Honolulu,Honolulu,307.0
96719,Honolulu,Honolulu,303.0
96719,Honolulu,Honolulu,306.0
96719,Honolulu,Honolulu,308.0
96719,Honolulu,Honolulu,301.0
96719,Honolulu,Honolulu,302.0
96720,Honolulu,Honolulu,304.0
96720,Honolulu,Honolulu,305.0
96720,Honolulu,Honolulu,307.0
96720,Honolulu,Honolulu,303.0
96720,Honolulu,Honolulu,306.0
96720,Honolulu,Honolulu,308.0
96720,Honolulu,Honolulu,301.0
96720,Honolulu,Honolulu,302.0
96721,Honolulu,Honolulu,304.0
96721,Honolulu,Honolulu,305.0
96721,Honolulu,Honolulu,307.0
96721,Honolulu,Honolulu,303.0
96721,Honolulu,Honolulu,306.0
96721,Honolulu,Honolulu,308.0
96721,Honolulu,Honolulu,301.0
96721,Honolulu,Honolulu,302.0
96722,Honolulu,Honolulu,304.0
96722,Honolulu,Honolulu,305.0
96722,Honolulu,Honolulu,307.0
96722,Honolulu,Honolulu,303.0
96722,Honolulu,Honolulu,306.0
96722,Honolulu,Honolulu,308.0
96722,Honolulu,Honolulu,301.0
96722,Honolulu,Honolulu,302.0
96723,Honolulu,Honolulu,304.0
96723,Honolulu,Honolulu,305.0
96723,Honolulu,Honolulu,307.0
96723,Honolulu,Honolulu,303.0
96723,Honolulu,Honolulu,306.0
96723,Honolulu,Honolulu,308.0
96723,Honolulu,Honolulu,301.0
96723,Honolulu,Honolulu,302.0
96724,Honolulu,Honolulu,304.0
96724,Honolulu,Honolulu,305.0
96724,Honolulu,Honolulu,307.0
96724,Honolulu,Honolulu,303.0
96724,Honolulu,Honolulu,306.0
96724,Honolulu,Honolulu,308.0
96724,Honolulu,Honolulu,301.0
96724,Honolulu,Honolulu,302.0
96725,Honolulu,Honolulu,304.0
96725,Honolulu,Honolulu,305.0
96725,Honolulu,Honolulu,307.0
96725,Honolulu,Honolulu,303.0
96725,Honolulu,Honolulu,306.0
96725,Honolulu,Honolulu,308.0
96725,Honolulu,Honolulu,301.0
96725,Honolulu,Honolulu,302.0
96726,Honolulu,Honolulu,304.0
96726,Honolulu,Honolulu,305.0
96726,Honolulu,Honolulu,307.0
96726,Honolulu,Honolulu,303.0
96726,Honolulu,Honolulu,306.0
96726,Honolulu,Honolulu,308.0
96726,Honolulu,Honolulu,301.0
96726,Honolulu,Honolulu,302.0
96727,Honolulu,Honolulu,304.0
96727,Honolulu,Honolulu,305.0
96727,Honolulu,Honolulu,307.0
96727,Honolulu,Honolulu,303.0
96727,Honolulu,Honolulu,306.0
96727,Honolulu,Honolulu,308.0
96727,Honolulu,Honolulu,301.0
96727,Honolulu,Honolulu,302.0
96728,Honolulu,Honolulu,304.0
96728,Honolulu,Honolulu,305.0
96728,Honolulu,Honolulu,307.0
96728,Honolulu,Honolulu,303.0
