agi_class_1,agi_class_2,agi_class_3,res_pct_taxable_income,nonres_pct_taxable_income
Less,than,"$10,000",0.5%,6.9%
"$10,000",to under,"$20,000",0.0%,0.5%
"$20,000","""","$30,000",0.03%,0.2%
"$30,000","""","$40,000",0.2%,1.2%
"$40,000","""","$50,000",0.4%,1.0%
"$50,000","""","$75,000",0.7%,2.7%
"$75,000","""","$100,000",1.2%,6.5%
"$100,000","""","$150,000",1.8%,12.3%
"$150,000","""","$200,000",3.1%,20.2%
"$200,000","""","$300,000",5.9%,33.8%
"$300,000","""","$400,000",11.3%,49.3%
"$400,000",and,over,20.9%,56.2%
Note: Details may not add to totals due to rounding.,,,,
