zip_code,total_returns,total_agi,avg_agi
96701,20680,,
96701,4260,,
96701,4320,,
96701,3530,,
96701,2410,,
96701,4610,,
96701,1550,,
96704,2630,,
96704,800,,
96704,680,,
96704,350,,
96704,280,,
96704,380,,
96704,140,,
96706,36550,,
96706,7790,,
96706,8540,,
96706,5900,,
96706,4280,,
96706,8340,,
96706,1700,,
96707,20470,,
96707,4270,,
96707,4510,,
96707,3260,,
96707,2330,,
96707,4870,,
96707,1230,,
96708,4290,,
96708,1420,,
96708,910,,
96708,600,,
96708,400,,
96708,650,,
96708,310,,
96712,3370,,
96712,930,,
96712,710,,
96712,490,,
96712,350,,
96712,590,,
96712,300,,
96713,810,,
96713,260,,
96713,240,,
96713,130,,
96713,80,,
96713,80,,
96713,20,,
96717,1860,,
96717,530,,
96717,450,,
96717,290,,
96717,180,,
96717,340,,
96717,70,,
96720,23910,,
96720,7080,,
96720,5920,,
96720,3650,,
96720,2310,,
96720,3870,,
96720,1080,,
96722,980,,
96722,260,,
96722,150,,
96722,120,,
96722,80,,
96722,180,,
96722,190,,
96725,1610,,
96725,450,,
96725,380,,
96725,270,,
96725,140,,
96725,240,,
96725,130,,
96727,2420,,
96727,650,,
96727,630,,
96727,430,,
96727,270,,
96727,360,,
96727,80,,
96730,740,,
96730,170,,
96730,150,,
96730,120,,
96730,70,,
96730,160,,
96730,70,,
96731,1280,,
96731,370,,
96731,330,,
96731,200,,
96731,130,,
96731,210,,
96731,40,,
96732,12930,,
96732,3410,,
96732,3650,,
96732,2360,,
96732,1370,,
96732,1810,,
96732,330,,
96734,22220,,
96734,4160,,
96734,4140,,
96734,3320,,
96734,2320,,
96734,5130,,
96734,3150,,
96738,3630,,
96738,780,,
96738,740,,
96738,610,,
96738,420,,
96738,820,,
96738,260,,
96740,15550,,
96740,4030,,
96740,3670,,
96740,2480,,
96740,1500,,
96740,2650,,
96740,1220,,
96741,2710,,
96741,620,,
96741,560,,
96741,400,,
96741,300,,
96741,580,,
96741,250,,
96743,6280,,
96743,1520,,
96743,1280,,
96743,1020,,
96743,660,,
96743,1160,,
96743,640,,
96744,26750,,
96744,5520,,
96744,5300,,
96744,4090,,
96744,3110,,
96744,6340,,
96744,2390,,
96746,8970,,
96746,2380,,
96746,2120,,
96746,1550,,
96746,990,,
96746,1440,,
96746,490,,
96748,1830,,
96748,640,,
96748,470,,
96748,260,,
96748,180,,
96748,220,,
96748,60,,
96749,7040,,
96749,2390,,
96749,1900,,
96749,1100,,
96749,660,,
96749,830,,
96749,160,,
96750,2780,,
96750,800,,
96750,720,,
96750,490,,
96750,300,,
96750,380,,
96750,90,,
96753,13480,,
96753,3310,,
96753,3100,,
96753,2310,,
96753,1480,,
96753,2190,,
96753,1090,,
96754,2050,,
96754,620,,
96754,430,,
96754,320,,
96754,200,,
96754,310,,
96754,170,,
96756,2810,,
96756,730,,
96756,610,,
96756,480,,
96756,270,,
96756,460,,
96756,260,,
96760,1450,,
96760,540,,
96760,380,,
96760,230,,
96760,110,,
96760,160,,
96760,30,,
96761,10610,,
96761,2390,,
96761,2550,,
96761,2130,,
96761,1190,,
96761,1670,,
96761,680,,
96762,2500,,
96762,1450,,
96762,330,,
96762,180,,
96762,140,,
96762,320,,
96762,80,,
96766,9220,,
96766,2300,,
96766,2300,,
96766,1660,,
96766,980,,
96766,1530,,
96766,450,,
96768,8570,,
96768,2290,,
96768,2010,,
96768,1400,,
96768,890,,
96768,1500,,
96768,480,,
96771,1830,,
96771,760,,
96771,460,,
96771,270,,
96771,140,,
96771,170,,
96771,30,,
96778,6040,,
96778,2650,,
96778,1550,,
96778,770,,
96778,450,,
96778,510,,
96778,110,,
96779,1820,,
96779,530,,
96779,420,,
96779,290,,
96779,170,,
96779,250,,
96779,160,,
96781,780,,
96781,230,,
96781,230,,
96781,130,,
96781,70,,
96781,90,,
96781,30,,
96782,18260,,
96782,3990,,
96782,4430,,
96782,3230,,
96782,2180,,
96782,3710,,
96782,720,,
96783,1030,,
96783,350,,
96783,290,,
96783,140,,
96783,80,,
96783,140,,
96783,30,,
96786,16450,,
96786,3680,,
96786,5980,,
96786,3090,,
96786,1520,,
96786,1910,,
96786,270,,
96789,26590,,
96789,5070,,
96789,4830,,
96789,4090,,
96789,3200,,
96789,7230,,
96789,2170,,
96790,4060,,
96790,1040,,
96790,770,,
96790,560,,
96790,400,,
96790,850,,
96790,440,,
96791,3640,,
96791,1050,,
96791,820,,
96791,600,,
96791,390,,
96791,590,,
96791,190,,
96792,19130,,
96792,5940,,
96792,5360,,
96792,3080,,
96792,1890,,
96792,2500,,
96792,360,,
96793,16150,,
96793,3910,,
96793,3710,,
96793,2730,,
96793,1720,,
96793,3100,,
96793,980,,
96795,4550,,
96795,1300,,
96795,1240,,
96795,800,,
96795,450,,
96795,600,,
96795,160,,
96797,35840,,
96797,8640,,
96797,9530,,
96797,6320,,
96797,4130,,
96797,6140,,
96797,1080,,
96813,14400,,
96813,3270,,
96813,2950,,
96813,2330,,
96813,1610,,
96813,2790,,
96813,1450,,
96814,13940,,
96814,3440,,
96814,2790,,
96814,2220,,
96814,1520,,
96814,2550,,
96814,1420,,
96815,14440,,
96815,3600,,
96815,3130,,
96815,2500,,
96815,1610,,
96815,2550,,
96815,1050,,
96816,25730,,
96816,6390,,
96816,5290,,
96816,3890,,
96816,2730,,
96816,4810,,
96816,2620,,
96817,26940,,
96817,8580,,
96817,6790,,
96817,4200,,
96817,2410,,
96817,3530,,
96817,1430,,
96818,21470,,
96818,4090,,
96818,5490,,
96818,4270,,
96818,2670,,
96818,4040,,
96818,910,,
96819,22570,,
96819,6400,,
96819,6760,,
96819,3800,,
96819,2200,,
96819,2790,,
96819,620,,
96821,9630,,
96821,1890,,
96821,1300,,
96821,1150,,
96821,900,,
96821,2100,,
96821,2290,,
96822,20550,,
96822,4890,,
96822,4270,,
96822,3410,,
96822,2270,,
96822,3670,,
96822,2040,,
96825,15110,,
96825,2880,,
96825,2100,,
96825,1900,,
96825,1600,,
96825,4090,,
96825,2540,,
96826,14640,,
96826,4430,,
96826,3790,,
96826,2610,,
96826,1550,,
96826,1810,,
96826,450,,
