senate_district,total_returns,single_returns,joint_returns,hoh_returns,mfs_returns,num_zip_codes,single_pct,joint_pct,hoh_pct,mfs_pct,district_type,district
1.0,4396920,2201220,1583340,624216,4365060,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,senate,1.0
3.0,4396920,2201220,1583340,624216,4365060,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,senate,3.0
4.0,4396920,2201220,1583340,624216,4365060,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,senate,4.0
9.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,9.0
10.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,10.0
11.0,30167640,15879960,10516500,3364668,27671490,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,11.0
13.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,13.0
14.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,14.0
15.0,30167640,15879960,10516500,3364668,27671490,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,15.0
16.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,16.0
19.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,19.0
21.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,21.0
23.0,30167640,15879960,10516500,3364668,27671490,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,23.0
24.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,24.0
25.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,senate,25.0
