year,year_weight,NAME,state,table_code,variable,value
2015,1.0,Hawaii,15,B12001,B12001_015E,36848
2016,1.0,Hawaii,15,B12001,B12001_015E,37388
2017,1.0,Hawaii,15,B12001,B12001_015E,32950
2018,1.0,Hawaii,15,B12001,B12001_015E,37239
2019,1.0,Hawaii,15,B12001,B12001_015E,36273
2021,1.0,Hawaii,15,B12001,B12001_015E,31905
2022,1.0,Hawaii,15,B12001,B12001_015E,36649
2023,1.0,Hawaii,15,B12001,B12001_015E,36836
2024,1.0,Hawaii,15,B12001,B12001_015E,35176
2015,1.0,Hawaii,15,B12001,B12001_014E,252111
2016,1.0,Hawaii,15,B12001,B12001_014E,258781
2017,1.0,Hawaii,15,B12001,B12001_014E,261116
2018,1.0,Hawaii,15,B12001,B12001_014E,258737
2019,1.0,Hawaii,15,B12001,B12001_014E,254725
2021,1.0,Hawaii,15,B12001,B12001_014E,264594
2022,1.0,Hawaii,15,B12001,B12001_014E,256612
2023,1.0,Hawaii,15,B12001,B12001_014E,262116
2024,1.0,Hawaii,15,B12001,B12001_014E,257698
2015,1.0,Hawaii,15,B12001,B12001_018E,56959
2016,1.0,Hawaii,15,B12001,B12001_018E,59756
2017,1.0,Hawaii,15,B12001,B12001_018E,58851
2018,1.0,Hawaii,15,B12001,B12001_018E,58209
2019,1.0,Hawaii,15,B12001,B12001_018E,56872
2021,1.0,Hawaii,15,B12001,B12001_018E,54145
2022,1.0,Hawaii,15,B12001,B12001_018E,55895
2023,1.0,Hawaii,15,B12001,B12001_018E,56908
2024,1.0,Hawaii,15,B12001,B12001_018E,55749
2015,1.0,Hawaii,15,B12001,B12001_017E,28319
2016,1.0,Hawaii,15,B12001,B12001_017E,28404
2017,1.0,Hawaii,15,B12001,B12001_017E,25224
2018,1.0,Hawaii,15,B12001,B12001_017E,28524
2019,1.0,Hawaii,15,B12001,B12001_017E,28929
2021,1.0,Hawaii,15,B12001,B12001_017E,25640
2022,1.0,Hawaii,15,B12001,B12001_017E,29951
2023,1.0,Hawaii,15,B12001,B12001_017E,29406
2024,1.0,Hawaii,15,B12001,B12001_017E,25061
2015,1.0,Hawaii,15,B12001,B12001_016E,8529
2016,1.0,Hawaii,15,B12001,B12001_016E,8984
2017,1.0,Hawaii,15,B12001,B12001_016E,7726
2018,1.0,Hawaii,15,B12001,B12001_016E,8715
2019,1.0,Hawaii,15,B12001,B12001_016E,7344
2021,1.0,Hawaii,15,B12001,B12001_016E,6265
2022,1.0,Hawaii,15,B12001,B12001_016E,6698
2023,1.0,Hawaii,15,B12001,B12001_016E,7430
2024,1.0,Hawaii,15,B12001,B12001_016E,10115
2015,1.0,Hawaii,15,B12001,B12001_011E,577908
2016,1.0,Hawaii,15,B12001,B12001_011E,584318
2017,1.0,Hawaii,15,B12001,B12001_011E,584827
2018,1.0,Hawaii,15,B12001,B12001_011E,584053
2019,1.0,Hawaii,15,B12001,B12001_011E,584971
2021,1.0,Hawaii,15,B12001,B12001_011E,592219
2022,1.0,Hawaii,15,B12001,B12001_011E,593331
2023,1.0,Hawaii,15,B12001,B12001_011E,596236
2024,1.0,Hawaii,15,B12001,B12001_011E,604067
2015,1.0,Hawaii,15,B12001,B12001_010E,48952
2016,1.0,Hawaii,15,B12001,B12001_010E,48137
2017,1.0,Hawaii,15,B12001,B12001_010E,48627
2018,1.0,Hawaii,15,B12001,B12001_010E,46446
2019,1.0,Hawaii,15,B12001,B12001_010E,46853
2021,1.0,Hawaii,15,B12001,B12001_010E,44982
2022,1.0,Hawaii,15,B12001,B12001_010E,51475
2023,1.0,Hawaii,15,B12001,B12001_010E,48479
2024,1.0,Hawaii,15,B12001,B12001_010E,54730
2015,1.0,Hawaii,15,B12001,B12001_013E,288959
2016,1.0,Hawaii,15,B12001,B12001_013E,296169
2017,1.0,Hawaii,15,B12001,B12001_013E,294066
2018,1.0,Hawaii,15,B12001,B12001_013E,295976
2019,1.0,Hawaii,15,B12001,B12001_013E,290998
2021,1.0,Hawaii,15,B12001,B12001_013E,296499
2022,1.0,Hawaii,15,B12001,B12001_013E,293261
2023,1.0,Hawaii,15,B12001,B12001_013E,298952
2024,1.0,Hawaii,15,B12001,B12001_013E,292874
2015,1.0,Hawaii,15,B12001,B12001_012E,169582
2016,1.0,Hawaii,15,B12001,B12001_012E,170598
2017,1.0,Hawaii,15,B12001,B12001_012E,167608
2018,1.0,Hawaii,15,B12001,B12001_012E,171574
2019,1.0,Hawaii,15,B12001,B12001_012E,176639
2021,1.0,Hawaii,15,B12001,B12001_012E,174788
2022,1.0,Hawaii,15,B12001,B12001_012E,179262
2023,1.0,Hawaii,15,B12001,B12001_012E,178352
2024,1.0,Hawaii,15,B12001,B12001_012E,191903
2015,1.0,Hawaii,15,B12001,B12001_019E,62408
2016,1.0,Hawaii,15,B12001,B12001_019E,57795
2017,1.0,Hawaii,15,B12001,B12001_019E,64302
2018,1.0,Hawaii,15,B12001,B12001_019E,58294
2019,1.0,Hawaii,15,B12001,B12001_019E,60462
2021,1.0,Hawaii,15,B12001,B12001_019E,66787
2022,1.0,Hawaii,15,B12001,B12001_019E,64913
2023,1.0,Hawaii,15,B12001,B12001_019E,62024
2024,1.0,Hawaii,15,B12001,B12001_019E,63541
2015,1.0,Hawaii,15,B12001,B12001_003E,222377
2016,1.0,Hawaii,15,B12001,B12001_003E,223677
2017,1.0,Hawaii,15,B12001,B12001_003E,224290
2018,1.0,Hawaii,15,B12001,B12001_003E,222460
2019,1.0,Hawaii,15,B12001,B12001_003E,223843
2021,1.0,Hawaii,15,B12001,B12001_003E,228018
2022,1.0,Hawaii,15,B12001,B12001_003E,231544
2023,1.0,Hawaii,15,B12001,B12001_003E,224708
2024,1.0,Hawaii,15,B12001,B12001_003E,228057
2015,1.0,Hawaii,15,B12001,B12001_002E,590393
2016,1.0,Hawaii,15,B12001,B12001_002E,583715
2017,1.0,Hawaii,15,B12001,B12001_002E,582993
2018,1.0,Hawaii,15,B12001,B12001_002E,579991
2019,1.0,Hawaii,15,B12001,B12001_002E,578494
2021,1.0,Hawaii,15,B12001,B12001_002E,592582
2022,1.0,Hawaii,15,B12001,B12001_002E,597433
2023,1.0,Hawaii,15,B12001,B12001_002E,592437
2024,1.0,Hawaii,15,B12001,B12001_002E,597407
2015,1.0,Hawaii,15,B12001,B12001_005E,263644
2016,1.0,Hawaii,15,B12001,B12001_005E,260671
2017,1.0,Hawaii,15,B12001,B12001_005E,260142
2018,1.0,Hawaii,15,B12001,B12001_005E,262857
2019,1.0,Hawaii,15,B12001,B12001_005E,260256
2021,1.0,Hawaii,15,B12001,B12001_005E,275514
2022,1.0,Hawaii,15,B12001,B12001_005E,263866
2023,1.0,Hawaii,15,B12001,B12001_005E,268664
2024,1.0,Hawaii,15,B12001,B12001_005E,266287
2015,1.0,Hawaii,15,B12001,B12001_004E,303412
2016,1.0,Hawaii,15,B12001,B12001_004E,296174
2017,1.0,Hawaii,15,B12001,B12001_004E,295567
2018,1.0,Hawaii,15,B12001,B12001_004E,296821
2019,1.0,Hawaii,15,B12001,B12001_004E,294248
2021,1.0,Hawaii,15,B12001,B12001_004E,306261
2022,1.0,Hawaii,15,B12001,B12001_004E,299689
2023,1.0,Hawaii,15,B12001,B12001_004E,305888
2024,1.0,Hawaii,15,B12001,B12001_004E,299614
2015,1.0,Hawaii,15,B12001,B12001_001E,1168301
