occupation_code,occupation_title,years_available,year_range,avg_employment,avg_mean_wage,avg_median_wage,total_wage_growth,annual_wage_growth
11-1011,Chief Executives,5,2020-2024,484.0,273108.0,227700.0,0.29692927608725855,0.06715885764113017
11-1021,General and Operations Managers,5,2020-2024,11708.0,117540.0,101638.0,0.078888119154832,0.019164065723966228
11-1031,Legislators,5,2020-2024,120.0,68174.0,64818.0,0.13894354472529136,0.033060007947744774
11-2011,Advertising and Promotions Managers,3,2020-2022,83.33333333333333,107946.66666666667,102973.33333333333,0.06983890492597077,0.03433017210461897
11-2021,Marketing Managers,5,2020-2024,448.0,124694.0,111202.0,0.21237536110334546,0.04932320102777954
11-2022,Sales Managers,5,2020-2024,1710.0,124802.0,107124.0,0.21497494897012434,0.049885241736421504
11-2032,Public Relations Managers,4,2021-2024,290.0,116905.0,105167.5,0.07836338418862691,0.02546705161683649
11-2033,Fundraising Managers,4,2021-2024,127.5,107177.5,93060.0,-0.03752719361856418,-0.01266888746053374
11-3012,Administrative Services Managers,4,2021-2024,1625.0,112002.5,104725.0,0.11272416737830913,0.036245140387497043
11-3013,Facilities Managers,4,2021-2024,705.0,106555.0,100645.0,0.145587637250915,0.04634789772680792
11-3021,Computer and Information Systems Managers,5,2020-2024,1092.0,137018.0,128760.0,0.20170966982981728,0.04700773216046694
11-3031,Financial Managers,5,2020-2024,3172.0,130328.0,115458.0,0.12311578261223825,0.029452073172269833
11-3051,Industrial Production Managers,5,2020-2024,94.0,128390.0,122890.0,0.20454978107747954,0.04762580712140707
11-3061,Purchasing Managers,5,2020-2024,200.0,109404.0,102850.0,0.0719527303916897,0.017522236065785624
11-3071,"Transportation, Storage, and Distribution Managers",5,2020-2024,458.0,116310.0,104332.0,0.14419077548756817,0.03424781137591104
11-3111,Compensation and Benefits Managers,5,2020-2024,70.0,108098.0,103496.0,-0.027574360365247266,-0.0069660412436703956
11-3121,Human Resources Managers,5,2020-2024,686.0,117218.0,108942.0,0.12254283137962128,0.02932075574420545
11-3131,Training and Development Managers,5,2020-2024,152.0,124136.0,107282.0,-0.007292327203551046,-0.0018280885560295612
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5,2020-2024,72.0,94166.0,85682.0,-0.46254047689137473,-0.1437778854758318
11-9021,Construction Managers,5,2020-2024,2566.0,117486.0,112292.0,-0.04382372214941022,-0.011140725288891096
11-9031,"Education and Childcare Administrators, Preschool and Daycare",5,2020-2024,274.0,61432.0,57440.0,0.11801896733403583,0.028282140381570064
11-9032,"Education Administrators, Kindergarten through Secondary",5,2020-2024,1734.0,105586.0,101484.0,0.002085703450891164,0.0005210185308044402
11-9033,"Education Administrators, Postsecondary",5,2020-2024,546.0,121950.0,111494.0,-0.195348497037958,-0.05288665334277254
11-9039,"Education Administrators, All Other",5,2020-2024,234.0,81386.0,69840.0,-0.06278424847476428,-0.016079759257535353
11-9041,Architectural and Engineering Managers,5,2020-2024,1106.0,142102.0,136872.0,-0.05666255598104757,-0.01447699073263442
11-9051,Food Service Managers,5,2020-2024,1072.0,78828.0,74098.0,0.20412287793047695,0.04753297280848612
11-9081,Lodging Managers,5,2020-2024,208.0,112722.0,97396.0,0.29540191862388354,0.06684452797926799
11-9111,Medical and Health Services Managers,5,2020-2024,2054.0,137634.0,126726.0,0.10390261367704977,0.02502082855843968
11-9121,Natural Sciences Managers,5,2020-2024,380.0,112440.0,108630.0,-0.02321153323057394,-0.0058540885079712
11-9131,Postmasters and Mail Superintendents,5,2020-2024,60.0,88738.0,87678.0,0.15499758570738773,0.03668131061530633
11-9141,"Property, Real Estate, and Community Association Managers",5,2020-2024,2034.0,71118.0,62960.0,0.08688524590163935,0.02104744602498987
11-9151,Social and Community Service Managers,5,2020-2024,952.0,74342.0,69686.0,0.09323943661971831,0.02253650726577816
11-9161,Emergency Management Directors,2,2020-2021,75.0,90615.0,85135.0,0.07333257064409107,0.07333257064409104
11-9171,Funeral Home Managers,2,2023-2024,65.0,66725.0,59560.0,0.15903575473224396,0.15903575473224407
11-9179,"Personal Service Managers, All Other",4,2021-2024,87.5,85202.5,80710.0,0.16121919584954605,0.05108555782239188
11-9199,"Managers, All Other",4,2021-2024,1240.0,120402.5,116525.0,0.11704384724186705,0.03758433641363079
13-1020,Buyers and Purchasing Agents,5,2020-2024,1458.0,71468.0,64206.0,0.17513267626990145,0.041170191038057746
13-1031,"Claims Adjusters, Examiners, and Investigators",5,2020-2024,868.0,73396.0,73450.0,0.15726446400230848,0.03718960230867108
13-1032,"Insurance Appraisers, Auto Damage",3,2021-2023,50.0,85873.33333333333,84400.0,0.08988355167394468,0.04397488076770539
13-1041,Compliance Officers,5,2020-2024,1400.0,76608.0,71806.0,0.18858525476800456,0.04413723772617684
13-1051,Cost Estimators,5,2020-2024,952.0,85474.0,81212.0,-0.01801374733349135,-0.004534181930339387
13-1071,Human Resources Specialists,5,2020-2024,2644.0,69120.0,63594.0,0.08623275344931014,0.020894169542742924
13-1075,Labor Relations Specialists,5,2020-2024,438.0,97382.0,91622.0,0.16322762814943528,0.03852313856397416
13-1081,Logisticians,5,2020-2024,466.0,92504.0,90044.0,0.14942125569975448,0.035427764065024236
13-1082,Project Management Specialists,4,2021-2024,1245.0,83582.5,74077.5,0.22095878020416074,0.0688095708302856
13-1111,Management Analysts,5,2020-2024,2456.0,89276.0,84444.0,0.2121025388217895,0.04926416343095297
13-1121,"Meeting, Convention, and Event Planners",5,2020-2024,510.0,66324.0,62910.0,0.21450564488539173,0.04978384318109641
13-1131,Fundraisers,5,2020-2024,364.0,65426.0,60988.0,-0.07837037037037037,-0.020196227821748458
13-1141,"Compensation, Benefits, and Job Analysis Specialists",5,2020-2024,306.0,66260.0,58346.0,0.1824051654560129,0.042777326519184866
13-1151,Training and Development Specialists,5,2020-2024,894.0,71266.0,64384.0,0.20119876883201038,0.04689643185823633
13-1161,Market Research Analysts and Marketing Specialists,5,2020-2024,1654.0,62432.0,58936.0,0.20086805555555556,0.04682436670351797
13-1199,"Business Operations Specialists, All Other",4,2021-2024,3890.0,85215.0,84160.0,0.15940921823274765,0.05053916926983493
13-2011,Accountants and Auditors,5,2020-2024,4902.0,72822.0,65424.0,0.15572774232756,0.03684511189810835
13-2020,Property Appraisers and Assessors,5,2020-2024,144.0,73752.0,69882.0,0.06302701157638989,0.015397465466901794
13-2031,Budget Analysts,5,2020-2024,242.0,84902.0,83356.0,0.05738187816660775,0.01404672261958595
13-2041,Credit Analysts,5,2020-2024,106.0,84528.0,76946.0,0.07194956113240203,0.017521483981463026
13-2051,Financial and Investment Analysts,4,2021-2024,515.0,84830.0,83180.0,0.10918824701195219,0.03514634507515613
13-2052,Personal Financial Advisors,5,2020-2024,636.0,101882.0,67992.0,0.48310328415040454,0.10355211933909114
13-2053,Insurance Underwriters,5,2020-2024,248.0,72894.0,65696.0,0.2249212775528565,0.052027384297099966
13-2054,Financial Risk Specialists,4,2021-2024,92.5,83822.5,76690.0,0.10763717251606525,0.034663608234850374
13-2061,Financial Examiners,5,2020-2024,200.0,65898.0,63838.0,-0.04062229904926534,-0.010314049822339633
13-2072,Loan Officers,5,2020-2024,1146.0,86788.0,67808.0,-0.10720505006530257,-0.02795150710021499
13-2081,"Tax Examiners and Collectors, and Revenue Agents",5,2020-2024,84.0,78902.0,72796.0,0.04923891462607545,0.012088749882657401
13-2082,Tax Preparers,5,2020-2024,222.5,48188.0,37308.0,0.2725958062183659,0.062117640296151855
13-2099,"Financial Specialists, All Other",4,2021-2024,690.0,79607.5,76280.0,0.07476998833743682,0.024326740372363487
15-1211,Computer Systems Analysts,5,2020-2024,1760.0,89586.0,83036.0,0.14746142359382777,0.03498611498206561
15-1212,Information Security Analysts,5,2020-2024,454.0,113150.0,104514.0,0.39573588600021753,0.08692808658799178
15-1221,Computer and Information Research Scientists,5,2020-2024,98.0,124590.0,127970.0,0.2288670641880042,0.052873575535935746
15-1231,Computer Network Support Specialists,5,2020-2024,548.0,75196.0,70802.0,0.2076533483398987,0.04829996779895862
