area_code,ST,STATE,occupation_code,occupation_title,GROUP,employment,employment_rse,JOBS_1000,mean_wage_hourly,mean_wage_annual,mean_wage_rse,pct10_wage_hourly,pct25_wage_hourly,median_wage_hourly,pct75_wage_hourly,pct90_wage_hourly,pct10_wage_annual,pct25_wage_annual,median_wage_annual,pct75_wage_annual,pct90_wage_annual,ANNUAL,HOURLY,year,state,occupation_code_original,LOC QUOTIENT,LOC_Q,OCC_GROUP,area_title,AREA_TYPE,industry_code,industry_title,industry_group,OWN_CODE,occupation_group,LOC_QUOTIENT,PCT_TOTAL,state_code,PCT_RPT,mean_wage_annual_growth,median_wage_annual_growth,pct10_wage_annual_growth,pct25_wage_annual_growth,pct75_wage_annual_growth,pct90_wage_annual_growth,mean_wage_annual_cagr,median_wage_annual_cagr,pct10_wage_annual_cagr,pct25_wage_annual_cagr,pct90_wage_annual_cagr,pct75_wage_annual_cagr
15,HI,Hawaii,11-1011,Chief executives,,1340.0,5.2,2.276,77.58,161370.0,2.6,37.81,50.05,70.57,,,78640.0,104110.0,146780.0,,1340.0,,,2009,HI,11-1011,,,,,,,,,,,,,,,,,,,,,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1220.0,4.8,2.135,81.27,169040.0,2.3,41.85,53.72,73.83,,,87060.0,111740.0,153580.0,,1220.0,,,2010,HI,11-1011,0.992,,,,,,,,,,,,,,0.04753051992315793,0.04632783758005177,0.10707019328585954,0.07328786860051872,,-0.08955223880597019,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1480.0,4.4,2.56,72.17,150120.0,5.1,28.98,45.43,64.87,,,60280.0,94490.0,134930.0,,1480.0,,,2011,HI,11-1011,,1.23,,,,,,,,,,,,,-0.1119261713203975,-0.12143508269305903,-0.3076039512979555,-0.1543762305351709,,0.21311475409836067,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1710.0,4.3,2.911,69.71,144990.0,4.4,27.27,42.06,63.05,,,56710.0,87490.0,131140.0,,1710.0,,,2012,HI,11-1011,,1.48,detailed,,,,,,,,,,,,-0.03417266187050361,-0.028088638553323997,-0.05922362309223628,-0.0740819134299926,,0.15540540540540548,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1940.0,4.3,3.225,69.56,144680.0,3.3,28.87,41.63,62.78,,,60060.0,86580.0,130570.0,,1940.0,,,2013,HI,11-1011,,1.72,detailed,,,,,,,,,,,,-0.002138078488171602,-0.004346499923745584,0.05907247399047777,-0.010401188707280795,,0.13450292397660824,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1970.0,4.7,3.215,73.34,152550.0,2.6,29.43,42.6,66.08,,,61220.0,88600.0,137450.0,,1970.0,,,2014,HI,11-1011,,1.76,detailed,,,,,,,,,,,,0.054395908211224864,0.0526920425825228,0.019314019314019326,0.023331023331023326,,0.015463917525773141,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,2080.0,4.7,3.361,76.38,158870.0,2.9,31.57,44.2,66.92,,,65660.0,91930.0,139200.0,,2080.0,,,2015,HI,11-1011,,1.94,detailed,,,,,,,,,,,,0.04142903965912814,0.012731902510003668,0.0725253185233583,0.03758465011286671,,0.055837563451776706,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1840.0,5.3,2.918,84.04,174800.0,3.0,33.9,48.36,74.46,,,70510.0,100600.0,154880.0,,1840.0,,,2016,HI,11-1011,,1.84,detailed,,,,,,,,,,,,0.1002706615471769,0.11264367816091947,0.07386536704233926,0.09431088871967797,,-0.11538461538461542,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1520.0,5.4,2.396,90.18,187570.0,2.9,37.98,54.89,82.24,,,78990.0,114160.0,171050.0,,1520.0,,,2017,HI,11-1011,,1.63,detailed,,,,,,,,,,,,0.07305491990846691,0.10440340909090917,0.12026662884697203,0.13479125248508939,,-0.17391304347826086,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
15,HI,Hawaii,11-1011,Chief Executives,,1090.0,6.8,1.695,96.96,201680.0,3.5,39.44,63.33,91.31,,,82030.0,131730.0,189930.0,,1090.0,,,2018,HI,11-1011,,1.25,detailed,,,,,,,,,,,,0.07522524924028362,0.11037708272434954,0.03848588428915045,0.15390679747722502,,-0.2828947368421053,0.04044255490696047,0.030621234975008127,0.02640000765230277,0.03324701371880168,-0.06041837184955268,
