filing_status,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Tax Liability,% of Total,Tax Liability.1,% of Total.1,year
Married Filing Jointly,222198.0,0.34870505595495355,23846.721111,0.6009927739347849,-420.888865,0.5850875916117244,1385.096581,0.6111200522795325,1299.577998,0.6134495471150455,2018
Single*,330680.0,0.5189506111809469,11670.680633,0.29412826588130936,-247.667114,0.3442879280060935,659.805239,0.2911134268058593,624.464805,0.2947708043734788,2018
Married Fil. Separately,14334.0,0.0224949741764476,941.597295,0.023730439401604155,-25.92349,0.03603685816271386,62.708207,0.02766755998525979,57.238147,0.027018551721321463,2018
Head of Household,69514.0,0.10909136562729026,3202.883665,0.08072010946321836,-24.447367,0.03398486457767883,158.130038,0.06976873556337547,136.551988,0.06445765881322586,2018
Qualifying Widow(er),483.0,0.000757993060361671,16.998882,0.00042841131908309015,-0.4336,0.0006027576417894631,0.748452,0.0003302253659730322,0.642826,0.00030343797692839695,2018
Married Filing Jointly,222585.0,0.34140008006417405,25734.880589,0.6048128671258166,-552.215264,0.6513837799360094,1514.850195,0.6152969046745931,1417.492004,0.6177430825060811,2019
Single*,342855.0,0.5258697776148545,12343.553573,0.2900942167261613,-249.377104,0.29416101151636276,704.04412,0.28596634123966813,663.984619,0.28936452842077964,2019
Married Fil. Separately,15650.0,0.024003914248508767,1041.103159,0.024467670809309266,-26.072963,0.030755225906018625,69.80186,0.028351891520553486,63.364302,0.02761416581389495,2019
Head of Household,70490.0,0.10811731088673374,3412.290483,0.08019455086850133,-19.770986,0.023321520489049577,172.446404,0.0700437171633756,149.048966,0.06495554644496188,2019
Qualifying Widow(er),397.0,0.0006089171857289444,18.326116,0.00043069447021168385,-0.320844,0.00037846215255974704,0.839894,0.0003411454018096903,0.740424,0.0003226768142823913,2019
Married Filing Jointly,221619.0,0.33911845940797075,25879.238334,0.5954329142087577,-649.62394,0.6550774340907858,1563.116605,0.6063555054960242,1453.492134,0.6050747498009343,2020
Single,346753.0,0.5305968493454626,12920.546889,0.29727763962746645,-287.045626,0.2894553303362917,752.790662,0.2920183695378866,713.774283,0.2971373463934867,2020
Married Fil. Separately,16206.0,0.024798206621118108,1084.596949,0.024954549038506385,-31.432266,0.031696135088462175,72.42394,0.02809429226728337,69.018016,0.028731534066187715,2020
Head of Household,68599.0,0.10496928150080717,3561.955796,0.08195394673221974,-23.283,0.02347845724087041,188.788644,0.07323384147949025,165.214499,0.06877720168378407,2020
Qualifying Widow(er),338.0,0.0005172031246413625,16.557207,0.00038095039304983434,-0.290207,0.00029264324358979854,0.768188,0.00029799121931532415,0.670609,0.0002791680556072791,2020
Married Filing Jointly,218942.0,0.3401553321432511,28977.11122,0.580815793082606,-413.681846,0.6066745019543242,1825.827444,0.5787455548172411,1696.325966,0.5843242787311734,2021
Single,340272.0,0.5286575219877792,14351.232051,0.2876553898740939,-217.877151,0.3195221481151292,866.960238,0.2748065736412479,818.63857,0.2819920236702721,2021
Married Fil. Separately,16124.0,0.025050764930793456,2834.030566,0.05680516937366528,-30.873731,0.04527707840942282,260.167032,0.08246700079725329,213.36746,0.07349754096094671,2021
Head of Household,68004.0,0.1056532013367451,3711.429656,0.07439171360988217,-17.949179,0.02632290813726937,201.003186,0.06371341431189656,173.965936,0.05992510998148187,2021
Qualifying Widow(er),311.0,0.0004831796014312059,16.560311,0.0003319340597526824,-1.502439,0.0022033633838545405,0.843772,0.0002674564323611148,0.757833,0.00026104665612580817,2021
