metric,2017_deductions,2026_deductions,difference,pct_change
Total Tax Revenue (Sample),178968819.6163856,162672399.03380957,-16296420.582576036,-9.10573172327277
Ordinary Income Tax (Sample),160212654.63603726,143975392.3126533,-16237262.323383957,-10.134818850777371
Capital Gains Tax (Sample),785076797582.4408,782600610327.438,-2476187255.0028076,-0.3154070101966999
Total Tax Revenue (Scaled),2988779287.5936394,2716629063.8646197,-272150223.72901964,-9.105731723272758
Ordinary Income Tax (Scaled),2675551332.421822,2404389051.62131,-271162280.80051184,-10.134818850777371
Capital Gains Tax (Scaled),13110782519626.76,13069430192468.213,-41352327158.546875,-0.3154070101966999
Average Tax per Filer,4275.720181006417,3886.3845720861405,-389.3356089202766,-9.105731723272758
Median Tax per Filer,1625.9242311311855,1170.5968266917027,-455.32740443948273,-28.004220351812027
Average Effective Rate,5.403104467843492,4.911112270273499,-0.491992197569993,-9.10573172327277
Average Adjustment Rate,4.338777200000001,4.3387772,-8.881784197001252e-16,-2.220446049250313e-14
Total Adjustments (Scaled),135558035.42209715,123214484.38722192,-12343551.034875229,-9.105731723272758
