filing_status,income_min,income_max,rate_2024_pre_act46,rate_2026_post_act46,rate_2026_adjusted,rate_increase_from_2026,still_below_2024
Joint_Surviving_Spouse,450000,550000.0,9.0,8.25,8.999999403953552,0.7499994039535522,True
Joint_Surviving_Spouse,550000,650000.0,10.0,9.0,10.499998807907104,1.4999988079071045,False
Joint_Surviving_Spouse,650000,800000.0,11.0,10.0,12.999997615814209,2.999997615814209,False
Joint_Surviving_Spouse,800000,inf,11.0,11.0,15.499996423721313,4.4999964237213135,False
Head_of_Household,337500,412500.0,9.0,8.25,8.999999403953552,0.7499994039535522,True
Head_of_Household,412500,487500.0,10.0,9.0,10.499998807907104,1.4999988079071045,False
Head_of_Household,487500,600000.0,11.0,10.0,12.999997615814209,2.999997615814209,False
Head_of_Household,600000,inf,11.0,11.0,15.499996423721313,4.4999964237213135,False
Single_Married_Separate,225000,275000.0,9.0,8.25,8.999999403953552,0.7499994039535522,True
Single_Married_Separate,275000,325000.0,10.0,9.0,10.499998807907104,1.4999988079071045,False
Single_Married_Separate,325000,400000.0,11.0,10.0,12.999997615814209,2.999997615814209,False
Single_Married_Separate,400000,inf,11.0,11.0,15.499996423721313,4.4999964237213135,False
