period,start_year,end_year,years,start_revenue,end_revenue,total_growth_pct,cagr
FY2018-FY2023,2018,2023,5,2430.0,3100.0,27.572016460905346,4.9907611056076995
FY2018-FY2024,2018,2024,6,2430.0,3280.0,34.979423868312765,5.126271515825631
FY2018-FY2025,2018,2025,7,2430.0,3288.0,35.30864197530865,4.414494613782738
FY2019-FY2023,2019,2023,4,2569.0,3100.0,20.669521214480334,4.80919790752985
FY2019-FY2024,2019,2024,5,2569.0,3280.0,27.67613857532114,5.007893848557021
FY2019-FY2025,2019,2025,6,2569.0,3288.0,27.987543791358505,4.198456098778869
FY2020-FY2023,2020,2023,3,2360.0,3100.0,31.355932203389834,9.517426583204958
FY2020-FY2024,2020,2024,4,2360.0,3280.0,38.98305084745763,8.57765560399837
FY2020-FY2025,2020,2025,5,2360.0,3288.0,39.32203389830509,6.857242095439986
FY2021-FY2023,2021,2023,2,3355.0,3100.0,-7.6005961251862875,-3.8753913532992734
FY2021-FY2024,2021,2024,3,3355.0,3280.0,-2.235469448584204,-0.7507790685916116
FY2021-FY2025,2021,2025,4,3355.0,3288.0,-1.9970193740685538,-0.5030378362713583
FY2022-FY2023,2022,2023,1,3760.0,3100.0,-17.553191489361698,-17.553191489361698
FY2022-FY2024,2022,2024,2,3760.0,3280.0,-12.765957446808507,-6.600833754689495
FY2022-FY2025,2022,2025,3,3760.0,3288.0,-12.553191489361703,-4.372826058331936
