agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.648932645524608,1.6489326455246083,54.96442151748694,21,35.93350115573683,14.933501155736828,71.11191026541347
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.39687917390847,12.396879173908466,59.0327579709927,333,520.5249564714632,187.52495647146316,56.31380074218113
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.67857585028376,13.678575850283764,26.820736961340714,889,1118.329313569357,229.32931356935705,25.79632323614815
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.81866942210763,14.818669422107632,16.10724937185612,1533,1785.4592311516144,252.4592311516144,16.468312534351888
$40k-$50k,40000,50000.0,53555,53555.004,0.00390625,7.2939038e-06,116,133.93740048059033,17.937400480590327,15.463276276370971,2166,2500.931578962307,334.93157896230696,15.463138456246858
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,321.07023442197345,28.070234421973453,9.580284785656469,3201,3510.5373382824378,309.53733828243776,9.6700199400949
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,282.86673833421526,21.866738334215256,8.37806066445029,4751,5145.276817778945,394.27681777894486,8.298817465353501
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,452.7277332381912,14.727733238191206,3.3624961731030147,7055,7294.412845213747,239.41284521374655,3.393520130598817
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.91971560411275,3.9197156041127528,1.3332366000383513,10496,10649.117658139574,153.1176581395739,1.4588191514822209
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.3794774181647,-27.620522581835303,-8.90984599414042,16391,14911.521223961803,-1479.4787760381969,-9.026165432482442
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,139.8698057265664,-13.130194273433602,-8.581826322505623,25119,23020.047025438842,-2098.952974561158,-8.356037161356575
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,796.7588768657197,-201.24112313428031,-20.16444119581967,112416,89775.64809754588,-22640.351902454116,-20.139794960196163
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2917.073039181358,-111.92696081864187,-3.6951786338277275,4770,4592.9695460542835,-177.03045394571654,-3.7113302713986696
