Table 12A,,,,,,,,,,,
Tax Liability of Residents Before and After Tax Credits,,,,,,,,,,,
by Hawai'i Adjusted Gross Income (AGI) Class in Tax Year 2022,,,,,,,,,,,
Hawai'i AGI Class,,,No. of Returns,% of Total,Before Credits,,,After Credits,,,
,,,,,Amount ($ Mil),% of Total,Average ($),Amount ($ Mil),% of Total,Average ($),
Less,than,"$10,000","  129,376 ",20.4%,$3,0.1%,$21,-$13,-0.5%,-$100,
"$10,000",to under,"$20,000","  64,160 ",10.1%,$21,0.7%,$333,$12,0.4%,$185,
"$20,000",to under,"$30,000","  57,835 ",9.1%,$51,1.7%,$889,$40,1.4%,$686,
"$30,000",to under,"$40,000","  59,827 ",9.4%,$92,3.0%,"$1,533",$81,2.9%,"$1,347",
"$40,000",to under,"$50,000","  53,555 ",8.4%,$116,3.8%,"$2,166",$110,3.9%,"$2,046",
"$50,000",to under,"$75,000","  91,459 ",14.4%,$293,9.7%,"$3,201",$287,10.3%,"$3,136",
"$75,000",to under,"$100,000","  54,976 ",8.7%,$261,8.6%,"$4,751",$256,9.1%,"$4,651",
"$100,000",to under,"$150,000","  62,065 ",9.8%,$438,14.5%,"$7,055",$426,15.2%,"$6,857", 
"$150,000",to under,"$200,000","  27,976 ",4.4%,$294,9.7%,"$10,496",$282,10.1%,"$10,095",
"$200,000",to under,"$300,000","  18,937 ",3.0%,$310,10.2%,"$16,391",$297,10.6%,"$15,666",
"$300,000",to under,"$400,000","  6,076 ",1.0%,$153,5.0%,"$25,119",$144,5.1%,"$23,618",
"$400,000",and,over,"  8,875 ",1.4%,$998,32.9%,"$112,416",$876,31.3%,"$98,685",
,,TOTAL,"  635,117 ",100%,"$3,029",100%,"$4,770","$2,795",100%,"$4,401",
Note: Details may not add to totals due to rounding.,,,,,,,,,,,
