Table 13A,,,,,,,,
Marginal and Average Effective Tax Rates ,,,,,,,,
for Residents by Taxable Income for Tax Year 2022,,,,,,,,
(Filing Status: Single and Married Filing Separately),,,,,,,,
Taxable Income,,,,Number of Returns,Marginal Tax Rate,Average Effective Tax Rate,,
,,,,,,Before Credits,After Credits,
,Not,over,"$2,400","82,072",1.40%,1.45%,-41.53%,
Over,"$2,400",to,"$4,800","13,773",3.20%,2.02%,0.06%,
Over,"$4,800",to,"$9,600","24,317",5.50%,3.35%,1.94%,
Over,"$9,600",to,"$14,400","20,638",6.40%,4.39%,3.54%,
Over,"$14,400",to,"$19,200","18,647",6.80%,5.03%,4.45%,
Over,"$19,200",to,"$24,000","18,863",7.20%,5.47%,5.01%,
Over,"$24,000",to,"$36,000","47,514",7.60%,6.03%,5.89%,
Over,"$36,000",to,"$48,000","40,454",7.90%,6.51%,6.45%, 
Over,"$48,000",to,"$150,000","76,914",8.25%,7.23%,7.12%,
Over,"$150,000",to,"$175,000","2,060",9.00%,7.76%,7.47%,
Over,"$175,000",to,"$200,000","1,220",10.00%,7.91%,7.57%,
,,Over,"$200,000","4,733",11.00%,9.87%,8.57%,
,,,TOTAL,"351,205",,7.64%,7.07%,
