Table 13B,,,,,,,,
Marginal and Average Effective Tax Rates ,,,,,,,,
for Residents by Taxable Income for Tax Year 2022,,,,,,,,
(Filing Status: Married Filing Jointly and Qualifying Widow(er)),,,,,,,,
Taxable Income,,,,Number of Returns,Marginal Tax Rate,Average Effective Tax Rate,,
,,,,,,Before Credits,After Credits,
,Not,over,"$4,800","40,236",1.40%,1.54%,-56.19%,
Over,"$4,800",to,"$9,600","5,632",3.20%,2.00%,-0.47%,
Over,"$9,600",to,"$19,200","10,798",5.50%,3.37%,1.64%,
Over,"$19,200",to,"$28,800","11,317",6.40%,4.40%,2.96%,
Over,"$28,800",to,"$38,400","11,443",6.80%,5.03%,4.20%,
Over,"$38,400",to,"$48,000","10,914",7.20%,5.47%,5.10%,
Over,"$48,000",to,"$72,000","27,330",7.60%,6.03%,5.80%,
Over,"$72,000",to,"$96,000","26,226",7.90%,6.51%,6.30%, 
Over,"$96,000",to,"$300,000","62,358",8.25%,7.24%,6.97%,
Over,"$300,000",to,"$350,000","2,401",9.00%,7.75%,7.30%,
Over,"$350,000",to,"$400,000","1,588",10.00%,7.91%,7.41%,
,,Over,"$400,000","6,115",11.00%,9.09%,8.11%,
,,,TOTAL,"216,358",,7.49%,6.94%,
