Table 13C,,,,,,,,
Marginal and Average Effective Tax Rates ,,,,,,,,
for Residents by Taxable Income for Tax Year 2022,,,,,,,,
(Filing Status: Head of Household),,,,,,,,
Taxable Income,,,,Number of Returns,Marginal Tax Rate,Average Effective Tax Rate,,
,,,,,,Before Credits,After Credits,
,Not,over,"$3,600","6,671",1.40%,1.40%,-48.28%,
Over,"$3,600",to,"$7,200","2,619",3.20%,2.00%,-2.84%,
Over,"$7,200",to,"$14,400","5,543",5.50%,3.37%,-0.16%,
Over,"$14,400",to,"$21,600","5,904",6.40%,4.41%,0.86%,
Over,"$21,600",to,"$28,800","7,376",6.80%,5.03%,2.49%,
Over,"$28,800",to,"$36,000","7,732",7.20%,5.47%,4.16%,
Over,"$36,000",to,"$54,000","13,878",7.60%,6.00%,5.68%,
Over,"$54,000",to,"$72,000","7,835",7.90%,6.50%,6.37%, 
Over,"$72,000",to,"$225,000","9,117",8.25%,7.14%,6.96%,
Over,"$225,000",to,"$262,500",176,9.00%,7.76%,7.49%,
Over,"$262,500",to,"$300,000",118,10.00%,7.97%,7.64%,
,,Over,"$300,000",424,11.00%,9.27%,8.15%,
,,,TOTAL,"67,393",,6.59%,5.79%,
