Table 17A,,,,,,,,,,
Tax Liability of Nonresidents Before and After Tax Credits,,,,,,,,,,
by Total (Worldwide) AGI Class in Tax Year 2022,,,,,,,,,,
Total AGI Class,,,No. of Returns,% of Total,Before Credits,,,After Credits,,
,,,,,Amount ($ Mil),% of Total,Average ($),Amount ($ Mil),% of Total,Average ($)
Less,than,"$10,000","  12,005 ",11.1%,$2,0.8%,$201,$1,0.5%,$117
"$10,000",to under,"$20,000","  7,205 ",6.7%,$1,0.5%,$199,$1.2,0.5%,$173
"$20,000",to under,"$30,000","  6,665 ",6.2%,$3,0.9%,$402,$2,0.9%,$368
"$30,000",to under,"$40,000","  5,869 ",5.4%,$3,1.1%,$558,$3,1.1%,$519
"$40,000",to under,"$50,000","  4,966 ",4.6%,$3,1.1%,$691,$3,1.2%,$653
"$50,000",to under,"$75,000","  10,582 ",9.8%,$9,3.1%,$884,$9,3.4%,$860
"$75,000",to under,"$100,000","  8,407 ",7.8%,$10,3.2%,"$1,144",$9,3.4%,"$1,104"
"$100,000",to under,"$150,000","  12,068 ",11.2%,$18,6.1%,"$1,530",$18,6.5%,"$1,465"
"$150,000",to under,"$200,000","  7,726 ",7.2%,$14,4.8%,"$1,856",$14,5.1%,"$1,778"
"$200,000",to under,"$300,000","  8,628 ",8.0%,$23,7.6%,"$2,658",$22,8.1%,"$2,549"
"$300,000",to under,"$400,000","  4,806 ",4.5%,$17,5.7%,"$3,570",$15,5.7%,"$3,218"
"$400,000",and,over,"  17,037 ",15.8%,$168,55.8%,"$9,841",$146,53.8%,"$8,543"
Composite Returns,,,"  2,028 ",1.9%,$28,9.2%,"$13,644",$26,9.7%,"$13,002"
TOTAL NONRESIDENT,,,"  107,992 ",100%,$300,100%,"$2,782",$271,100%,"$2,506"
Note: Details may not add to totals due to rounding.,,,,,,,,,,
