Table 21,,,,,,,,
Income Eligible for the Tax Rate on Net Long-Term Capital Gains,,,,,,,,
by Hawai'i AGI Class in Tax Year 2022,,,,,,,,
(Dollar amounts are in millions),,,,,,,,
Hawai'i AGI Class,,,Net Long-Term Capital Gains,,,,Percent of Total Taxable Income,
,,,Residents,,Nonresidents,,Residents,Nonresidents
,,,Number,Amount,Number,Amount,%,%
Less,than,"$10,000",34,$0.5,33,$5.9,0.5%,6.9%
"$10,000",to under,"$20,000",13,$0.0,22,$0.8,0.0%,0.5%
"$20,000","""","$30,000",234,$0.3,78,$0.3,0.03%,0.2%
"$30,000","""","$40,000","1,616",$3.6,137,$1.8,0.2%,1.2%
"$40,000","""","$50,000","2,045",$7.7,144,$1.3,0.4%,1.0%
"$50,000","""","$75,000","6,044",$30.1,503,$7.2,0.7%,2.7%
"$75,000","""","$100,000","6,067",$46.0,433,$13.6,1.2%,6.5%
"$100,000","""","$150,000","9,146",$112.0,690,$39.2,1.8%,12.3%
"$150,000","""","$200,000","6,095",$126.0,423,$41.9,3.1%,20.2%
"$200,000","""","$300,000","5,577",$242.0,576,$96.6,5.9%,33.8%
"$300,000","""","$400,000","2,384",$216.9,410,$108.5,11.3%,49.3%
"$400,000",and,over,"4,188","$2,210.3",1018,$900.3,20.9%,56.2%
Composite Returns,,,n/a,n/a,20,$208.3,n/a,55.1%
,,TOTAL,"43,443","$2,995","4,487","$1,426",7.4%,34.2%
Note: Details may not add to totals due to rounding.,,,,,,,,
