Table 4,,,,,,,
Types and Number of Returns Filed,,,,,,,
by Filing Status of Taxpayer for Tax Year 2022 versus 2021,,,,,,,
   Filing Status,,All Returns,,Residents,,Nonresidents,
,,No. of Returns,% of Total,No. of Returns,% of Total,No. of Returns,% of Total
2022,,,,,,,
,Married Filing Jointly,"267,230",36.0%,"216,358",34.1%,"50,872",47.1%
,Single,"379,050",51.0%,"335,198",52.8%,"43,852",40.6%
,Married Filing Separately,"22,916",3.1%,"16,007",2.5%,"6,909",6.4%
,Head of Household,"71,698",9.6%,"67,393",10.6%,"4,305",4.0%
,Qualifying Widow(er),187,0.0%,161,0.0%,26,0.0%
,Composite,"2,028",0.3%,n/a,n/a,"2,028",1.9%
,TOTAL,"743,109",100.0%,"635,117",100.0%,"107,992",100.0%
2021,,,,,,,
,Married Filing Jointly,"269,239",35.8%,"218,942",34.0%,"50,297",46.7%
,Single,"384,194",51.1%,"340,272",52.9%,"43,922",40.8%
,Married Filing Separately,"23,250",3.1%,"16,124",2.5%,"7,126",6.6%
,Head of Household,"72,281",9.6%,"68,004",10.6%,"4,277",4.0%
,Qualifying Widow(er),341,0.0%,311,0.0%,30,0.0%
,Composite,"2,039",0.3%,n/a,n/a,"2,039",1.9%
,TOTAL,"751,344",100.0%,"643,653",100.0%,"107,691",100.0%
% Change: 2022-2021,,,,,,,
,Married Filing Jointly,-0.7%,,-1.2%,,1.1%,
,Single,-1.3%,,-1.5%,,-0.2%,
,Married Filing Separately,-1.4%,,-0.7%,,-3.0%,
,Head of Household,-0.8%,,-0.9%,,0.7%,
,Qualifying Widow(er),-45.2%,,-48.2%,,-13.3%,
,Composite,-0.5%,,n/a,,-0.5%,
,TOTAL,-1.1%,,-1.3%,,0.3%,
Note: Details may not add to totals due to rounding.,,,,,,,
