TABLE A-2,,,,,,,,,,,,,,,,,,,,,
SELECTED DATA FROM RESIDENT TAX RETURNS BY FILING STATUS AND HAWAI'I AGI CLASS - 2022,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in millions),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Number of Returns,,,,,,,,,,,,Hawai'i AGI,,,,,
,,,,Joint,,,,Single*,,,,H/H**,,,,Joint,,Single*,,H/H**,
TAXABLE RETURNS,,,,Number,,% of total,,Number,,% of total,,Number,,% of total,,,,,,,
$0,to under,"$10,000",,848,,0.4%,,"34,202",,9.7%,,"1,786",,2.6%,,$8,,$218,,$14,
"$10,000",to under,"$20,000",,"7,454",,3.4%,,"41,592",,11.8%,,"7,003",,10.4%,,$115,,$615,,$106,
"$20,000",to under,"$30,000",,"9,685",,4.5%,,"37,376",,10.6%,,"7,905",,11.7%,,$243,,$935,,$199,
"$30,000",to under,"$40,000",,"11,010",,5.1%,,"37,725",,10.7%,,"9,863",,14.6%,,$386,,"$1,318",,$346,
"$40,000",to under,"$50,000",,"11,149",,5.2%,,"32,754",,9.3%,,"9,080",,13.4%,,$501,,"$1,467",,$406,
"$50,000",to under,"$75,000",,"26,333",,12.2%,,"50,995",,14.5%,,"13,549",,20.1%,,"$1,641",,"$3,101",,$825,
"$75,000",to under,"$100,000",,"25,234",,11.7%,,"22,969",,6.5%,,"6,553",,9.7%,,"$2,207",,"$1,974",,$563,
"$100,000",to under,"$150,000",,"40,262",,18.6%,,"16,755",,4.8%,,"4,896",,7.2%,,"$4,947",,"$1,995",,$583,
"$150,000",to under,"$200,000",,"22,528",,10.4%,,"4,308",,1.2%,,"1,090",,1.6%,,"$3,876",,$734,,$186,
"$200,000",to under,"$300,000",,"15,602",,7.2%,,"2,728",,0.8%,,581,,0.9%,,"$3,722",,$656,,$139,
"$300,000",to under,"$400,000",,"4,815",,2.2%,,"1,042",,0.3%,,208,,0.3%,,"$1,649",,$358,,$71,
"$400,000",and,over,,"6,893",,3.2%,,"1,694",,0.5%,,280,,0.4%,,"$6,992",,"$3,867",,$290,
TOTAL RESIDENT TAXABLE,,,,"181,813",,84.0%,,"284,140",,80.9%,,"62,794",,93.0%,,"$26,286",,"$17,239",,"$3,729",
,,,,,,,,,,,,,,,,,,,,,
NONTAXABLE RETURNS,,,,,,,,,,,,,,,,,,,,,
,Loss,,,"5,055",,2.3%,,"8,511",,2.4%,,525,,0.8%,,-$422,,-$277,,-$19,
$0,to under,"$5,000",,"15,718",,7.3%,,"49,223",,14.0%,,"2,902",,4.3%,,$19,,$46,,$5,
"$5,000",to under,"$10,000",,"5,529",,2.6%,,"4,297",,1.2%,,780,,1.2%,,$40,,$31,,$5,
"$10,000",and,over,,"8,243",,3.8%,,"5,034",,1.4%,,553,,0.8%,,$206,,$131,,$14,
TOTAL RESIDENT NONTAXABLE,,,,"34,545",,16.0%,,"67,065",,19.1%,,"4,760",,7.0%,,-$157,***,-$70,***,$5,***
,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL RESIDENT RETURNS,,,,"216,358",,100.0%,,"351,205",,100.0%,,"67,554",,100.0%,,"$26,129",***,"$17,169",***,"$3,734",***
Note: Details may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
* Includes returns with Single and Married Filing Separately filing status.,,,,,,,,,,,,,,,,,,,,,
** Includes returns with Head of Household and Qualifying Widow(er) filing status.,,,,,,,,,,,,,,,,,,,,,
*** Includes returns with negative Hawaii AGI.,,,,,,,,,,,,,,,,,,,,,
