TABLE A-2 (CONTINUED),,,,,,,,,,,,,,,,,,,,
SELECTED DATA FROM RESIDENT TAX RETURNS BY FILING STATUS AND HAWAI'I AGI CLASS - 2022,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in millions),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Taxable Income,,,,,,Tax Liability Before Credits,,,,,,Tax Liability After Credits,,,,
,,,,Joint,,Single*,,H/H**,,Joint,,Single*,,H/H**,,Joint,,Single*,,H/H**
TAXABLE RETURNS,,,,,,,,,,,,,,,,,,,,
$0,to under,"$10,000",,$1,,$110,,$4,,$0.01,,$3,,$0.1,,-$0.2,,$0.2,,-$0.4
"$10,000",to under,"$20,000",,$42,,$440,,$60,,$0.9,,$19,,$2,,-$0.6,,$14,,-$0.6
"$20,000",to under,"$30,000",,$128,,$753,,$144,,$4,,$41,,$6,,$2,,$37,,$1
"$30,000",to under,"$40,000",,$241,,"$1,113",,$272,,$10,,$67,,$14,,$7,,$66,,$8
"$40,000",to under,"$50,000",,$340,,"$1,256",,$330,,$17,,$80,,$19,,$14,,$80,,$16
"$50,000",to under,"$75,000",,"$1,222",,"$2,659",,$679,,$69,,$182,,$42,,$66,,$180,,$41
"$75,000",to under,"$100,000",,"$1,737",,"$1,685",,$463,,$109,,$122,,$31,,$105,,$120,,$30
"$100,000",to under,"$150,000",,"$3,983",,"$1,792",,$478,,$269,,$135,,$34,,$260,,$132,,$33
"$150,000",to under,"$200,000",,"$3,199",,$666,,$164,,$230,,$52,,$12,,$221,,$50,,$12
"$200,000",to under,"$300,000",,"$3,340",,$605,,$127,,$251,,$50,,$10,,$240,,$47,,$9
"$300,000",to under,"$400,000",,"$1,528",,$332,,$66,,$118,,$29,,$5,,$111,,$27,,$5
"$400,000",and,over,,"$6,593",,"$3,684",,$278,,$596,,$375,,$26,,$532,,$321,,$23
TOTAL RESIDENT TAXABLE,,,,"$22,355",,"$15,096",,"$3,065",,"$1,674",,"$1,153",,$202,,"$1,558",,"$1,073",,$179
,,,,,,,,,,,,,,,,,,,,
NONTAXABLE RETURNS,,,,,,,,,,,,,,,,,,,,
,Loss,,,NOT APPLICABLE,,,,,,,,,,,,-$1.4,,-$1.3,,-$0.1
$0,to under,"$5,000",,,,,,,,,,,,,,-$2.9,,-$4.4,,-$0.8
"$5,000",to under,"$10,000",,,,,,,,,,,,,,-$1.0,,-$0.4,,-$0.2
"$10,000",and,over,,,,,,,,,,,,,,-$1.5,,-$0.3,,-$0.1
TOTAL RESIDENT NONTAXABLE,,,,,,,,,,,,,,,,-$6.7,,-$6.5,,-$1.3
,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL RESIDENT RETURNS,,,,"$22,355",,"$15,096",,"$3,065",,"$1,674",,"$1,153",,$202,,"$1,551",,"$1,067",,$177
Note: Details may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,
* Includes returns with Single and Married Filing Separately filing status.,,,,,,,,,,,,,,,,,,,,
** Includes returns with Head of Household and Qualifying Widow(er) filing status.,,,,,,,,,,,,,,,,,,,,
