TABLE A-4,,,,,,,,,,,,,,,,,,,,,,
TYPES OF DEDUCTIONS BY HAWAI'I ADJUSTED GROSS INCOME (AGI) CLASS - 2022,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in millions),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Medical and Dental Expenses,,,,Taxes,,,,Interest Expense,,,,Charitable Contributions,,,,Casualty Losses & Misc. Deductions,,
,,,,Number,,Amount,,Number,,Amount,,Number,,Amount,,Number,,Amount,,Number,,Amount
TAXABLE RESIDENT RETURNS,,,,,,,,,,,,,,,,,,,,,,
$0,to under,"$10,000",,"1,642",,$4,,"2,403",,$3,,263,,$1,,"1,209",,$1,,823,,$1
"$10,000",to under,"$20,000",,"6,559",,$20,,"10,350",,$23,,"2,523",,$11,,"6,505",,$10,,"3,343",,$6
"$20,000",to under,"$30,000",,"6,972",,$27,,"15,029",,$43,,"4,444",,$28,,"9,712",,$18,,"4,779",,$13
"$30,000",to under,"$40,000",,"5,750",,$28,,"29,407",,$91,,"6,027",,$45,,"14,329",,$26,,"6,633",,$21
"$40,000",to under,"$50,000",,"4,641",,$25,,"39,060",,$141,,"7,396",,$63,,"16,611",,$31,,"7,344",,$25
"$50,000",to under,"$75,000",,"7,068",,$45,,"77,409",,$381,,"20,368",,$187,,"35,592",,$74,,"15,295",,$60
"$75,000",to under,"$100,000",,"3,664",,$30,,"50,843",,$346,,"20,036",,$206,,"27,063",,$67,,"10,981",,$51
"$100,000",to under,"$150,000",,"3,203",,$35,,"52,981",,$455,,"33,069",,$390,,"34,524",,$108,,"13,154",,$77
"$150,000",to under,"$200,000",,"1,144",,$17,,"24,902",,$292,,"18,782",,$251,,"17,821",,$71,,"5,474",,$40
"$200,000",to under,"$300,000",,578,,$13,,"13,826",,$78,,"12,848",,$204,,"11,395",,$65,,"3,114",,$35
"$300,000",to under,"$400,000",,153,,$6,,"4,216",,$24,,"3,940",,$74,,"3,592",,$29,,861,,$16
"$400,000",and,over,,122,,$10,,"5,586",,$80,,"5,168",,$237,,"5,037",,$307,,"1,235",,$102
TOTAL RESIDENT TAXABLE,,,,"41,496",,$261,,"326,012",,"$1,959",,"134,864",,"$1,695",,"183,390",,$806,,"73,036",,$447
,,,,,,,,,,,,,,,,,,,,,,
NONTAXABLE RESIDENT RETURNS,,,,,,,,,,,,,,,,,,,,,,
,Loss,,,"6,902",,$55,,"8,089",,$49,,"3,925",,$44,,582,,$2,,"3,402",,$12
$0,to under,"$5,000",,"23,556",,$150,,"24,078",,$58,,"9,087",,$69,,"10,918",,$10,,"8,328",,$7
"$5,000",to under,"$10,000",,"6,889",,$55,,"7,798",,$27,,"3,478",,$43,,"5,186",,$9,,"3,344",,$6
"$10,000",and,over,,"11,016",,$221,,"13,372",,$124,,"7,797",,$110,,"9,899",,$96,,"5,745",,$56
TOTAL RESIDENT NONTAXABLE,,,,"48,363",,$480,,"53,337",,$258,,"24,287",,$267,,"26,585",,$118,,"20,819",,$81
,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL RESIDENT RETURNS,,,,"89,859",,$740,,"379,349",,"$2,217",,"159,151",,"$1,962",,"209,975",,$924,,"93,855",,$528
,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL NONRESIDENT RETURNS,,,,"4,354",,$25,,"31,292",,$125,,"8,063",,$125,,"15,901",,$91,,"3,213",,$38
,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL - ALL RETURNS,,,,"94,213",,$766,,"410,641",,"$2,342",,"167,214",,"$2,087",,"225,876",,"$1,015",,"97,068",,$566
Note: Details may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,
