TABLE A-4 (CONTINUED),,,,,,,,,,,,,,,,,,
TYPES OF DEDUCTIONS BY HAWAI'I ADJUSTED GROSS INCOME (AGI) CLASS - 2022,,,,,,,,,,,,,,,,,,
(Dollar amounts are in millions),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Disallowed Itemized Deductions,,,,Total Allowable Itemized Deductions,,,,Standard Deductions,,,,TOTAL ALLOWABLE DEDUCTIONS,,
,,,,Number,,Amount,,Number,,Amount,,Number,,Amount,,Number,,Amount
TAXABLE RESIDENT RETURNS,,,,,,,,,,,,,,,,,,
$0,to under,"$10,000",,-,,-,,"2,588",,$9,,"34,248",,$77,,"36,836",,$87
"$10,000",to under,"$20,000",,-,,-,,"10,690",,$70,,"45,359",,$117,,"56,049",,$187
"$20,000",to under,"$30,000",,-,,-,,"15,222",,$129,,"39,744",,$106,,"54,966",,$235
"$30,000",to under,"$40,000",,-,,-,,"29,552",,$212,,"29,046",,$84,,"58,598",,$296
"$40,000",to under,"$50,000",,-,,-,,"39,198",,$285,,"13,785",,$46,,"52,983",,$331
"$50,000",to under,"$75,000",,-,,-,,"77,709",,$747,,"13,168",,$48,,"90,877",,$795
"$75,000",to under,"$100,000",,714,,$0.2,,"51,126",,$701,,"3,630",,$12,,"54,756",,$713
"$100,000",to under,"$150,000",,773,,$1,,"54,341",,"$1,064",,"7,572",,$19,,"61,913",,"$1,083"
"$150,000",to under,"$200,000",,"14,689",,$7,,"25,446",,$663,,"2,480",,$7,,"27,926",,$671
"$200,000",to under,"$300,000",,"14,708",,$32,,"14,723",,$363,,"4,188",,$16,,"18,911",,$379
"$300,000",to under,"$400,000",,"4,449",,$23,,"4,459",,$126,,"1,606",,$6,,"6,065",,$132
"$400,000",and,over,,"5,959",,$184,,"5,972",,$552,,"2,895",,$11,,"8,867",,$563
TOTAL RESIDENT TAXABLE,,,,"41,292",,$247,,"331,026",,"$4,920",,"197,721",,$550,,"528,747",,"$5,470"
,,,,,,,,,,,,,,,,,,
NONTAXABLE RESIDENT RETURNS,,,,,,,,,,,,,,,,,,
,Loss,,,-,,-,,"8,537",,$162,,"5,554",,$15,,"14,091",,$177
$0,to under,"$5,000",,-,,-,,"26,311",,$295,,"41,532",,$107,,"67,843",,$401
"$5,000",to under,"$10,000",,-,,-,,"8,114",,$141,,"2,492",,$10,,"10,606",,$151
"$10,000",and,over,,80,,$0.3,,"13,755",,$607,,75,,$0,,"13,830",,$607
TOTAL RESIDENT NONTAXABLE,,,,80,,$0.3,,"56,717",,"$1,204",,"49,653",,$132,,"106,370",,"$1,336"
,,,,,,,,,,,,,,,,,,
TOTAL - ALL RESIDENT RETURNS,,,,"41,372",,$248,,"387,743",,"$6,124",,"247,374",,$682,,"635,117",,"$6,806"
,,,,,,,,,,,,,,,,,,
TOTAL - ALL NONRESIDENT RETURNS,,,,"1,897",,$18,,"38,728",,$386,,"36,507",,$47,,"75,235",,$433
,,,,,,,,,,,,,,,,,,
GRAND TOTAL - ALL RETURNS,,,,"43,269",,$266,,"426,471",,"$6,510",,"283,881",,$729,,"710,352",,"$7,239"
Notes: Details may not add to totals due to rounding. ,,,,,,,,,,,,,,,,,,
