TABLE A-5,,,,,,,,,,,,,,,,,,,,,,
EXEMPTIONS CLAIMED BY HAWAI'I ADJUSTED GROSS INCOME (AGI) CLASS - 2022,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in millions),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Total Number of Returns,,Number of Exemptions,,,,,,,,Exemptions per Return,,,,,,,,Total Exemption Amount
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Regular*,,Dependents,,Age,,Total,,Regular*,,Dependents,,Age,,Total,,
TAXABLE RESIDENT RETURNS,,,,,,,,,,,,,,,,,,,,,,
$0,to under,"$10,000",,"36,836",,"28,574",,"4,043",,"5,193",,"33,773",,0.8,,0.1,,0.1,,0.9,,$39
"$10,000",to under,"$20,000",,"56,049",,"77,138",,"19,975",,"15,209",,"92,571",,1.4,,0.4,,0.3,,1.7,,$107
"$20,000",to under,"$30,000",,"54,966",,"85,324",,"22,741",,"15,470",,"101,048",,1.6,,0.4,,0.3,,1.8,,$117
"$30,000",to under,"$40,000",,"58,598",,"96,168",,"27,328",,"13,933",,"110,353",,1.6,,0.5,,0.2,,1.9,,$128
"$40,000",to under,"$50,000",,"52,983",,"89,025",,"25,333",,"11,748",,"101,037",,1.7,,0.5,,0.2,,1.9,,$117
"$50,000",to under,"$75,000",,"90,877",,"161,501",,"44,732",,"20,478",,"182,405",,1.8,,0.5,,0.2,,2.0,,$211
"$75,000",to under,"$100,000",,"54,756",,"114,032",,"34,246",,"12,177",,"126,457",,2.1,,0.6,,0.2,,2.3,,$146
"$100,000",to under,"$150,000",,"61,913",,"151,239",,"49,265",,"12,824",,"164,297",,2.4,,0.8,,0.2,,2.7,,$189
"$150,000",to under,"$200,000",,"27,926",,"76,627",,"26,260",,"6,277",,"82,997",,2.7,,0.9,,0.2,,3.0,,$95
"$200,000",to under,"$300,000",,"18,911",,"52,203",,"17,747",,"5,165",,"57,431",,2.8,,0.9,,0.3,,3.0,,$66
"$300,000",to under,"$400,000",,"6,065",,"15,883",,"5,030",,"2,351",,"18,261",,2.6,,0.8,,0.4,,3.0,,$21
"$400,000",and,over,,"8,867",,"22,571",,"6,855",,"4,184",,"26,800",,2.5,,0.8,,0.5,,3.0,,$31
TOTAL RESIDENT TAXABLE,,,,"528,747",,"970,285",,"283,555",,"125,009",,"1,097,430",,1.8,,0.5,,0.2,,2.1,,"$1,268"
,,,,,,,,,,,,,,,,,,,,,,
NONTAXABLE RESIDENT RETURNS,,,,,,,,,,,,,,,,,,,,,,
,Loss,,,"14,091",,"20,789",,"2,083",,"11,792",,"32,749",,1.5,,0.1,,0.8,,2.3,,$38
$0,to under,"$5,000",,"67,843",,"87,212",,"7,732",,"58,152",,"146,189",,1.3,,0.1,,0.9,,2.2,,$172
"$5,000",to under,"$10,000",,"10,606",,"19,221",,"3,366",,"12,089",,"31,584",,1.8,,0.3,,1.1,,3.0,,$38
"$10,000",and,over,,"13,830",,"24,672",,"3,112",,"16,462",,"41,638",,1.8,,0.2,,1.2,,3.0,,$51
TOTAL RESIDENT NONTAXABLE,,,,"106,370",,"151,894",,"16,293",,"98,495",,"252,160",,1.4,,0.2,,0.9,,2.4,,$299
,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL RESIDENT RETURNS,,,,"635,117",,"1,122,179",,"299,848",,"223,504",,"1,349,590",,1.8,,0.5,,0.4,,2.1,,"$1,567"
,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL NONRESIDENT RETURNS,,,,"107,992",,"203,847",,"50,631",0,"34,518",0,"238,477",,1.9,,0.5,,0.3,0.0,2.2,,$63
,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL - ALL RETURNS,,,,"743,109",,"1,326,026",,"350,479",,"258,022",,"1,588,067",,1.8,,0.5,,0.3,0.0,2.1,,"$1,629"
Note: Details may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,
* Regular Exemptions = Self + Spouse (If Joint Return) + Qualified Dependents,,,,,,,,,,,,,,,,,,,,,,
