TABLE A-6,,,,,,,,,,,,,,,,,,,,
NUMBER OF RETURNS FILED BY THE NUMBER OF EXEMPTIONS CLAIMED AND BY HAWAI'I AGI CLASS - 2022,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Total No. of Returns,,Number of Regular Exemptions Claimed,,,,,,,,,,,,Age Exemptions Claimed,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,One,,Two,,Three,,Four,,Five,,Six or More,,One,,Two
RESIDENT RETURNS,,,,,,,,,,,,,,,,,,,,
,Loss,,,"14,091",,"8,129",,"4,702",,484,,261,,87,,49,,"5,646",,"3,073"
$0,to under,"$10,000",,"115,285",,"69,060",,"24,217",,"3,029",,"1,127",,446,,255,,"43,428",,"16,003"
"$10,000",to under,"$20,000",,"64,160",,"36,063",,"14,584",,"3,950",,"1,936",,745,,431,,"12,200",,"6,580"
"$20,000",to under,"$30,000",,"57,835",,"34,533",,"13,382",,"4,339",,"2,114",,919,,488,,"8,684",,"5,105"
"$30,000",to under,"$40,000",,"59,827",,"36,140",,"13,655",,"4,887",,"2,740",,"1,086",,613,,"7,111",,"4,068"
"$40,000",to under,"$50,000",,"53,555",,"31,903",,"12,658",,"4,437",,"2,514",,"1,104",,611,,"5,821",,"3,274"
"$50,000",to under,"$75,000",,"91,459",,"50,195",,"24,117",,"8,513",,"4,976",,"2,171",,"1,189",,"9,545",,"5,734"
"$75,000",to under,"$100,000",,"54,976",,"22,739",,"17,372",,"6,789",,"4,887",,"2,045",,"1,051",,"5,397",,"3,486"
"$100,000",to under,"$150,000",,"62,065",,"16,611",,"21,750",,"10,080",,"8,687",,"3,384",,"1,487",,"5,515",,"3,722"
"$150,000",to under,"$200,000",,"27,976",,"4,277",,"10,075",,"5,454",,"5,616",,"1,891",,631,,"2,613",,"1,856"
"$200,000",to under,"$300,000",,"18,937",,"2,716",,"6,911",,"3,555",,"4,122",,"1,203",,404,,"1,923",,"1,634"
"$300,000",to under,"$400,000",,"6,076",,"1,043",,"2,405",,"1,010",,"1,149",,357,,101,,835,,763
"$400,000",and,over,,"8,875",,"1,678",,"3,679",,"1,275",,"1,595",,488,,143,,"1,460",,"1,365"
TOTAL - ALL RESIDENT RETURNS,,,,"635,117",,"315,087",,"169,507",,"57,802",,"41,724",,"15,926",,"7,453",,"110,178",,"56,663"
TOTAL - ALL NONRESIDENT RETURNS,,,,"107,992",,"45,729",,"32,556",,"9,296",,"9,514",,"3,572",0,"1,440",,"13,470",,"10,524"
GRAND TOTAL - ALL RETURNS,,,,"743,109",,"360,816",,"202,063",,"67,098",,"51,238",,"19,498",,"8,893",,"123,648",,"67,187"
Note: Excludes returns filed by dependents who may be claimed by another taxpayer.,,,,,,,,,,,,,,,,,,,,
