TABLE A-8,,,,,,,,,,,,,,,,,,,,
TAX LIABILITIES AND EFFECTIVE TAX RATES FOR RESIDENTS ,,,,,,,,,,,,,,,,,,,,
BEFORE AND AFTER TAX CREDITS BY HAWAI'I AGI CLASS - 2022,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Number of Returns,,Tax Liability,,,,,,,,Effective Tax Rates (%) Based on,,,,,,
,,,,,,Before Credits,,,,After Credits,,,,Taxable Income,,,,Hawai'i AGI,,
,,,,,,Total          ($ Million),,Average         ($),,Total          ($ Million),,Average         ($),,Before Credits,,After Credits,,Before Credits,,After Credits
,Loss,,,"14,091",,$0,,$0,,-$3,,-$202,,n/a,,n/a,,n/a,,n/a
$0,to under,"$10,000",,"115,285",,$3,,$0,,-$10,,-$88,,2.3%,,-8.8%,,0.7%,,-2.6%
"$10,000",to under,"$20,000",,"64,160",,$21,,$333,,$12,,$185,,3.9%,,2.2%,,2.2%,,1.2%
"$20,000",to under,"$30,000",,"57,835",,$51,,$889,,$40,,$686,,5.0%,,3.9%,,3.6%,,2.7%
"$30,000",to under,"$40,000",,"59,827",,$92,,"$1,533",,$81,,"$1,347",,5.6%,,5.0%,,4.4%,,3.9%
"$40,000",to under,"$50,000",,"53,555",,$116,,"$2,166",,$110,,"$2,046",,6.0%,,5.7%,,4.8%,,4.6%
"$50,000",to under,"$75,000",,"91,459",,$293,,"$3,201",,$287,,"$3,136",,6.4%,,6.3%,,5.2%,,5.1%
"$75,000",to under,"$100,000",,"54,976",,$261,,"$4,751",,$256,,"$4,651",,6.7%,,6.6%,,5.5%,,5.4%
"$100,000",to under,"$150,000",,"62,065",,$438,,"$7,055",,$426,,"$6,857",,7.0%,,6.8%,,5.8%,,5.6%
"$150,000",to under,"$200,000",,"27,976",,$294,,"$10,496",,$282,,"$10,095",,7.3%,,7.0%,,6.1%,,5.9%
"$200,000",to under,"$300,000",,"18,937",,$310,,"$16,391",,$297,,"$15,666",,7.6%,,7.3%,,6.9%,,6.6%
"$300,000",to under,"$400,000",,"6,076",,$153,,"$25,119",,$144,,"$23,618",,7.9%,,7.4%,,7.3%,,6.9%
"$400,000",to under,"$500,000",,"2,926",,$101,,"$34,513",,$95,,"$32,393",,8.3%,,7.8%,,7.8%,,7.3%
"$500,000",to under,"$750,000",,"2,991",,$149,,"$49,973",,$140,,"$46,782",,8.7%,,8.2%,,8.3%,,7.8%
"$750,000",to under,"$1,000,000",,"1,134",,$85,,"$74,611",,$78,,"$68,557",,9.1%,,8.4%,,8.7%,,8.0%
"$1,000,000",and,over,,"1,824",,$663,,"$363,282",,$563,,"$308,869",,9.9%,,8.4%,,9.3%,,7.9%
,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL RESIDENT RETURNS,,,,"635,117",,"$3,029",,"$4,770",,"$2,795",,"$4,401",,7.5%,,6.9%,,6.3%,,5.9%
"Notes: Details may not add to totals due to rounding. ""n/a"" denotes ""not applicable"".",,,,,,,,,,,,,,,,,,,,
