TABLE A-9 (CONTINUED),,,,,,,,,,,,,,,,,,
"SELECTED DATA FROM RESIDENT TAX RETURNS WITH HAWAI'I AGI UNDER $150,000 BY FILING STATUS  - 2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Number of Returns,,Hawai'i AGI         ($ million),,Tax Liability,,,,,,,,Average Effective Tax Rates (%),,
,,,,,,,,Before Credits,,,,After Credits,,,,,,
,,,,,,,,Total          ($ Million),,Average         ($),,Total          ($ Million),,Average         ($),,Before Credits,,After Credits
JOINT* RESIDENT RETURNS,,,,,,,,,,,,,,,,,,
,Loss,,,"5,055",,-$422,,$0.0,,$0.0,,-$1.4,,-$273.5,,n/a,,n/a
,Equal to,$0,,"3,641",,$0,,$0.0,,$0.0,,-$0.7,,-$200.5,,n/a,,n/a
$1,to under,"$1,000",,"5,806",,$1,,$0.0,,$0.0,,-$1.0,,-$173.9,,n/a,,n/a
"$1,000",to under,"$5,000",,"6,274",,$18,,$0.0,,$1.8,,-$1.1,,-$182.7,,n/a,,n/a
"$5,000",to under,"$10,000",,"6,374",,$48,,$0.0,,$2.2,,-$1.2,,-$187.0,,n/a,,n/a
"$10,000",to under,"$15,000",,"6,181",,$77,,$0.2,,$30.6,,-$1.0,,-$163.4,,1.6%,,-8.4%
"$15,000",to under,"$20,000",,"6,043",,$105,,$0.7,,$112.1,,-$0.5,,-$84.8,,2.2%,,-1.7%
"$20,000",to under,"$30,000",,"11,515",,$288,,$4.4,,$380.1,,$1.4,,$125.0,,3.4%,,1.1%
"$30,000",to under,"$40,000",,"11,769",,$412,,$10.4,,$887.1,,$6.4,,$547.0,,4.3%,,2.7%
"$40,000",to under,"$50,000",,"11,478",,$516,,$16.8,,"$1,461.2",,$13.7,,"$1,194.5",,4.9%,,4.0%
"$50,000",to under,"$60,000",,"10,984",,$604,,$23.1,,"$2,099.9",,$21.6,,"$1,971.0",,5.4%,,5.0%
"$60,000",to under,"$75,000",,"15,637",,"$1,054",,$46.0,,"$2,940.5",,$44.3,,"$2,832.8",,5.8%,,5.6%
"$75,000",to under,"$100,000",,"25,352",,"$2,217",,$108.6,,"$4,282.7",,$105.3,,"$4,152.4",,6.3%,,6.1%
"$100,000",to under,"$125,000",,"22,833",,"$2,560",,$135.5,,"$5,936.4",,$131.2,,"$5,745.9",,6.6%,,6.4%
"$125,000",to under,"$150,000",,"17,519",,"$2,398",,$133.5,,"$7,620.7",,$129.1,,"$7,366.6",,6.9%,,6.7%
TOTAL,,,,"166,461",,"$10,297",**,$479.2,,"$2,878.5",,$446.1,,"$2,679.8",,6.2%,,5.8%
ALL JOINT* RESIDENT RETURNS,,,,"216,358",,"$26,551",**,"$1,674.4",,"$7,739.1",,"$1,550.9",,"$7,168.3",,7.5%,,6.9%
Ratio of HI AGI<$150K to All Joint (%),,,,76.9%,,38.8%,,28.6%,,37.2%,,28.8%,,37.4%,,83.1%,,83.6%
"Notes: Details may not add to totals due to rounding. ""n/a"" denotes ""not applicable"".",,,,,,,,,,,,,,,,,,
* Includes returns with Married Filing Jointly filing status.,,,,,,,,,,,,,,,,,,
** Excludes returns with negative Hawai'i AGI in the summation.,,,,,,,,,,,,,,,,,,
