line_code,description,year,value_thousands
10,Personal income,2019,78586942
10,Personal income,2020,82758504
10,Personal income,2021,88650356
10,Personal income,2022,91007852
10,Personal income,2023,96961368
10,Personal income,2024,102703773
46,Dividends interest and rent,2019,15447080
46,Dividends interest and rent,2020,15792627
46,Dividends interest and rent,2021,16228200
46,Dividends interest and rent,2022,18838095
46,Dividends interest and rent,2023,20921529
46,Dividends interest and rent,2024,22528188
47,Personal current transfer receipts,2019,12757669
47,Personal current transfer receipts,2020,19366693
47,Personal current transfer receipts,2021,20392848
47,Personal current transfer receipts,2022,17444505
47,Personal current transfer receipts,2023,17361206
47,Personal current transfer receipts,2024,18073410
50,Wages and salaries,2019,39282859
50,Wages and salaries,2020,36768242
50,Wages and salaries,2021,39819054
50,Wages and salaries,2022,42958660
50,Wages and salaries,2023,45981847
50,Wages and salaries,2024,48636051
70,Proprietors income,2019,6515770
70,Proprietors income,2020,5899878
70,Proprietors income,2021,7243520
70,Proprietors income,2022,6923493
70,Proprietors income,2023,7724132
70,Proprietors income,2024,8128426
