income_min,income_max,rate,base_tax,base_income,year,filing_status,scenario
0,4800.0,1.4,0,0,2018,Joint_Surviving_Spouse,
4800,9600.0,3.2,67,4800,2018,Joint_Surviving_Spouse,
9600,19200.0,5.5,221,9600,2018,Joint_Surviving_Spouse,
19200,28800.0,6.4,749,19200,2018,Joint_Surviving_Spouse,
28800,38400.0,6.8,1363,28800,2018,Joint_Surviving_Spouse,
38400,48000.0,7.2,2016,38400,2018,Joint_Surviving_Spouse,
48000,72000.0,7.6,2707,48000,2018,Joint_Surviving_Spouse,
72000,96000.0,7.9,4531,72000,2018,Joint_Surviving_Spouse,
96000,300000.0,8.25,6427,96000,2018,Joint_Surviving_Spouse,
300000,350000.0,9.0,23257,300000,2018,Joint_Surviving_Spouse,
350000,400000.0,10.0,27757,350000,2018,Joint_Surviving_Spouse,
400000,inf,11.0,32757,400000,2018,Joint_Surviving_Spouse,
0,19200.0,1.4,0,0,2025,Joint_Surviving_Spouse,
19200,28800.0,3.2,269,19200,2025,Joint_Surviving_Spouse,
28800,38400.0,5.5,576,28800,2025,Joint_Surviving_Spouse,
38400,48000.0,6.4,1104,38400,2025,Joint_Surviving_Spouse,
48000,72000.0,6.8,1718,48000,2025,Joint_Surviving_Spouse,
72000,96000.0,7.2,3350,72000,2025,Joint_Surviving_Spouse,
96000,250000.0,7.6,5078,96000,2025,Joint_Surviving_Spouse,
250000,350000.0,7.9,16782,250000,2025,Joint_Surviving_Spouse,
350000,450000.0,8.25,24682,350000,2025,Joint_Surviving_Spouse,
450000,550000.0,9.0,32932,450000,2025,Joint_Surviving_Spouse,
550000,650000.0,10.0,41932,550000,2025,Joint_Surviving_Spouse,
650000,inf,11.0,51932,650000,2025,Joint_Surviving_Spouse,
0,28800.0,1.4,0,0,2027,Joint_Surviving_Spouse,
28800,38400.0,3.2,403,28800,2027,Joint_Surviving_Spouse,
38400,48000.0,5.5,710,38400,2027,Joint_Surviving_Spouse,
48000,72000.0,6.4,1238,48000,2027,Joint_Surviving_Spouse,
72000,96000.0,6.8,2774,72000,2027,Joint_Surviving_Spouse,
96000,250000.0,7.2,4406,96000,2027,Joint_Surviving_Spouse,
250000,350000.0,7.6,15494,250000,2027,Joint_Surviving_Spouse,
350000,450000.0,7.9,23094,350000,2027,Joint_Surviving_Spouse,
450000,550000.0,8.25,30994,450000,2027,Joint_Surviving_Spouse,
550000,650000.0,9.0,39244,550000,2027,Joint_Surviving_Spouse,
650000,800000.0,10.0,48244,650000,2027,Joint_Surviving_Spouse,
800000,inf,11.0,63244,800000,2027,Joint_Surviving_Spouse,
0,38400.0,1.4,0,0,2029,Joint_Surviving_Spouse,
38400,48000.0,3.2,538,38400,2029,Joint_Surviving_Spouse,
48000,72000.0,5.5,845,48000,2029,Joint_Surviving_Spouse,
72000,96000.0,6.4,2165,72000,2029,Joint_Surviving_Spouse,
96000,250000.0,6.8,3701,96000,2029,Joint_Surviving_Spouse,
