Year Month,Tax Type,Amount
Jan 2016,Tobacco,11040082.48
Jan 2016,General Excise & Use,295631721.29
Jan 2016,Banks/Financial Corp,2433855.65
Jan 2016,Individual Income,221614859.89
Jan 2016,Corporate Income,-11895823.479999997
Jan 2016,County Surcharges,22978669.22
Jan 2016,Liquor,5206097.82
Jan 2016,Transient Accommodation,41379306.18
Jan 2016,Fuel,17162355.3
Jan 2016,Rental Vehicle,4252461.04
Jan 2016,Public Service Co.,12970703.19
Jan 2016,Inheritance/Estate,176146.76
Jan 2016,All Others,10.02
Feb 2016,Corporate Income,-9202724.670000002
Feb 2016,Inheritance/Estate,4244542
Feb 2016,General Excise & Use,278954970.39
Feb 2016,All Others,5978.78
Feb 2016,Individual Income,154773782.17000002
Feb 2016,Fuel,7463195.9
Feb 2016,Public Service Co.,13091720.92
Feb 2016,Transient Accommodation,41129150.94
Feb 2016,Tobacco,8076956.94
Feb 2016,Liquor,3671270.44
Feb 2016,Rental Vehicle,4514869.04
Feb 2016,Banks/Financial Corp,503380.92
Feb 2016,County Surcharges,24451038.63
Mar 2016,County Surcharges,20313953.07
Mar 2016,General Excise & Use,243903095.34
Mar 2016,Rental Vehicle,4869577.7
Mar 2016,Individual Income,119609140.97999999
Mar 2016,Inheritance/Estate,2950917.36
Mar 2016,Tobacco,11232618.85
Mar 2016,Transient Accommodation,41288246.15
Mar 2016,Corporate Income,3820219.219999999
Mar 2016,All Others,2999.98
Mar 2016,Banks/Financial Corp,-1055777.81
Mar 2016,Public Service Co.,12735549.03
Mar 2016,Liquor,4114539.78
Mar 2016,Fuel,23775394.89
Apr 2016,Inheritance/Estate,22565.04
Apr 2016,Transient Accommodation,39650679.3
Apr 2016,County Surcharges,19840467.61
Apr 2016,Individual Income,131567560.32
Apr 2016,Fuel,15852397.85
Apr 2016,Tobacco,11850950.01
Apr 2016,Rental Vehicle,6712437.36
Apr 2016,Banks/Financial Corp,1160163.53
Apr 2016,Corporate Income,21079393.65
Apr 2016,Public Service Co.,14151651.47
Apr 2016,All Others,351.39
Apr 2016,Liquor,4538665.58
Apr 2016,General Excise & Use,274345489.92
May 2016,General Excise & Use,258608255.84
May 2016,Banks/Financial Corp,295869.7
May 2016,Inheritance/Estate,2798580.42
May 2016,County Surcharges,20615409.02
May 2016,Individual Income,285978397.33
May 2016,Tobacco,9104916.4
May 2016,Corporate Income,4946955.15
May 2016,Public Service Co.,9828000.85
May 2016,Rental Vehicle,4365034.06
May 2016,Transient Accommodation,37061312.16
May 2016,Liquor,3869980.45
May 2016,All Others,41841.77
May 2016,Fuel,16825730.92
