Year Month,Tax Type,Amount
Sep 2025,"Banks/Financial Corp. 1/, 7/",1251801.85
Sep 2025,Conveyance 1/,13935112.45
Sep 2025,Employment Sec. Contri.,3941621.85
Sep 2025,Fuel 6/,14656967.960000005
Sep 2025,Environmental,2481646.96
Sep 2025,GE Licenses,48728.46
Sep 2025,General Excise & Use 2/,381784652.9500001
Sep 2025,County Surcharges 3/,46975850.720000006
Sep 2025,Decl. of Est. Taxes,92597450.29
Sep 2025,Payment W/ Returns,6375280.94
Sep 2025,Refunds,-7209331.91
Sep 2025,Decl. of Est. Taxes,127028576.53
Sep 2025,Payment W/ Returns,16950568.3
Sep 2025,WH Tax on Wages,195117586.24
Sep 2025,Refunds,-27936866.72
Sep 2025,Inheritance/Estate 7/,-510918.26
Sep 2025,Insurance Premiums,13941193.66
Sep 2025,Liquor Tax and Permits,4114474.53
Sep 2025,Mtr. Vehicle Tax and Fees 4/,12861327.069999998
Sep 2025,Rental Vehicle Tax and Fees,10554136.18
Sep 2025,Public Service Co.,12770587.74
Sep 2025,Tobacco Tax and Licenses/Permits 1/,6226227.35
Sep 2025,Trans. Accomm./Time Share Occup. Fees,1165.0
Sep 2025,Trans. Accomm. Tax/Time Share Occup. Tax 1/,67228134.03
Sep 2025,All Others 5/,10.0
Sep 2025,TOTAL - SEPTEMBER 2025,995185984.17
Sep 2025,TOTAL - SEPTEMBER 2024,1324053496.94
Sep 2025,Increase or Decrease,-328867512.7700001
Sep 2025,Percent Change,-0.2483793241965229
Sep 2025,State General Fund,886313238.39
Sep 2025,State Highway Fund,30016118.9
Sep 2025,State Airport Fund,375730.99
Sep 2025,Boating Special Fund,142812.37
Sep 2025,Environmental Fund,118590.25
Sep 2025,Cigarette Stamp Administrative Fund,9839.9
Sep 2025,Cigarette Stamp Enforcement Fund,73799.29
Sep 2025,Compliance Resolution Fund,0.0
Sep 2025,Election Campaign Fund,0.0
Sep 2025,Employment Security Fund,3941621.85
Sep 2025,Rental Housing Fund,6967556.23
Sep 2025,Convention Center Enterprise Fund,0.0
Sep 2025,Land Conservation Fund,1393511.25
Sep 2025,Tourism Emergency Special Fund,0.0
Sep 2025,School Minor Repairs & Maintenance Fund,700.0
Sep 2025,Public Libraries Fund,1740.0
Sep 2025,Domestic Violence/Child Abuse and Neglect Funds,1640.0
Sep 2025,Cancer Research Fund,614994.08
Sep 2025,Trauma System Fund,345934.17
Sep 2025,Emergency Medical Service Fund,384371.3
Sep 2025,Community Health Centers Fund,384371.3
Sep 2025,Energy Security Fund,104495.08
Sep 2025,Energy Systems Development Fund,122964.29
Sep 2025,Electric Vehicle Charging System Subaccount,68529.72
Sep 2025,Hydrogen Fueling System Subaccount,68529.72
Sep 2025,Turtle Bay Conservation Easement Fund,0.0
Sep 2025,Land and Development Fund,0.0
Sep 2025,Mass Transit Fund,6526072.24
Sep 2025,Tax Administration Fund,2695403.1799999997
Sep 2025,SUB-TOTAL,940672564.5
Sep 2025,City and County of Honolulu,30585866.96
Sep 2025,County of Maui,6877024.14
Sep 2025,County of Hawaii,6268562.74
Sep 2025,County of Kauai,3244396.88
Sep 2025,Fuel Tax,7537568.95
Sep 2025,TOTAL,995185984.1699998
Aug 2025,Banks/Financial Corp. 1/ 7/,-78081.14
Aug 2025,Conveyance 1/,7740045.33
Aug 2025,Employment Sec. Contri.,0.0
Aug 2025,Fuel,14571206.69
Aug 2025,Environmental,2272032.89
Aug 2025,GE Licenses,47391.06
Aug 2025,General Excise & Use 2/,383811729.18999994
Aug 2025,County Surcharges 3/,46315977.89
Aug 2025,Decl. of Est. Taxes,7664969.06
Aug 2025,Payment W/ Returns,1998650.72
Aug 2025,Refunds,-4768730.72
Aug 2025,Decl. of Est. Taxes,25663344.069999997
Aug 2025,Payment W/ Returns,12109750.08
Aug 2025,WH Tax on Wages,189129190.92
Aug 2025,Refunds,-34636162.84
Aug 2025,Inheritance/Estate,1857314.26
Aug 2025,Insurance Premiums,29003475.32
Aug 2025,Liquor Tax and Permits,4432030.27
Aug 2025,Mtr. Vehicle Tax and Fees 4/,10503685.239999998
Aug 2025,Rental Vehicle Tax and Fees,10932590.45
Aug 2025,Public Service Co.,12652668.29
Aug 2025,Tobacco Tax and Licenses/Permits 1/,6044616.78
Aug 2025,Trans. Accomm./Time Share Occup. Fees,1250.0
Aug 2025,Trans. Accomm. Tax/Time Share Occup. Tax 1/,75335321.19
Aug 2025,All Others 5/,0.0
Aug 2025,TOTAL - AUGUST 2025,802604264.9999998
Aug 2025,TOTAL - AUGUST 2024,852375112.9900001
Aug 2025,Increase or Decrease,-49770847.99000037
Aug 2025,Percent Change,-0.0583907803401391
Aug 2025,State General Fund,703225225.1599997
Aug 2025,State Highway Fund,28001099.499999996
Aug 2025,State Airport Fund,261795.46
Aug 2025,Boating Special Fund,143094.09
Aug 2025,Environmental Fund,108643.22
Aug 2025,Cigarette Stamp Administrative Fund,9321.6
Aug 2025,Cigarette Stamp Enforcement Fund,69912.0
Aug 2025,Compliance Resolution Fund,0.0
Aug 2025,Election Campaign Fund,0.0
Aug 2025,Employment Security Fund,0.0
Aug 2025,Rental Housing Fund,3870022.67
Aug 2025,Convention Center Enterprise Fund,0.0
Aug 2025,Land Conservation Fund,774004.53
Aug 2025,Tourism Emergency Special Fund,0.0
Aug 2025,School Minor Repairs & Maintenance Fund,888.0
Aug 2025,Public Libraries Fund,2160.0
Aug 2025,Domestic Violence/Child Abuse and Neglect Funds,2120.0
Aug 2025,Cancer Research Fund,582600.0
Aug 2025,Trauma System Fund,327712.5
Aug 2025,Emergency Medical Service Fund,364125.0
Aug 2025,Community Health Centers Fund,364125.0
Aug 2025,Energy Security Fund,97336.54
Aug 2025,Energy Systems Development Fund,113380.48
Aug 2025,Electric Vehicle Charging System Subaccount,62343.57
Aug 2025,Hydrogen Fueling System Subaccount,62343.57
Aug 2025,Turtle Bay Conservation Easement Fund,0.0
Aug 2025,Land and Development Fund,0.0
Aug 2025,Mass Transit Fund,7345050.02
Aug 2025,Tax Administration Fund,2899690.87
Aug 2025,SUB-TOTAL,748686993.7799999
Aug 2025,City and County of Honolulu,29862069.7
Aug 2025,County of Maui,6883691.66
Aug 2025,County of Hawaii,6224896.65
Aug 2025,County of Kauai,3345319.88
Aug 2025,Fuel Tax,7601293.33
Aug 2025,TOTAL,802604264.9999999
Jul 2025,"Banks/Financial Corp. 1/, 7",1309961.01
Jul 2025,Conveyance 1/,0.0
Jul 2025,Employment Sec. Contri.,58131416.01
Jul 2025,Fuel 6/,16054567.7
Jul 2025,Environmental,2177312.07
Jul 2025,GE Licenses,54964.3
Jul 2025,General Excise & Use 2/,431543135.25
Jul 2025,County Surcharges 3/,51730288.11000001
Jul 2025,Decl. of Est. Taxes,16111862.59
Jul 2025,Payment W/ Returns / 7,-460741.49
Jul 2025,Refunds,-5699490.58
Jul 2025,Decl. of Est. Taxes,25049728.11
Jul 2025,Payment W/ Returns,14169276.27
Jul 2025,WH Tax on Wages,237215406.9
Jul 2025,Refunds,-40284754.14
Jul 2025,Inheritance/Estate,2279096.11
Jul 2025,Insurance Premiums,7298365.52
Jul 2025,Liquor Tax and Permits,4152539.29
Jul 2025,Mtr. Vehicle Tax and Fees 4/,12139210.37
Jul 2025,Rental Vehicle Tax and Fees,10343779.329999998
Jul 2025,Public Service Co.,13080494.760000002
Jul 2025,Tobacco Tax and Licenses/Permits 1/,7991655.46
Jul 2025,Trans. Accomm./Time Share Occup. Fees,1450.0
Jul 2025,Trans. Accomm. Tax/Time Share Occup. Tax 1/,74454545.64999999
Jul 2025,All Others 5/,5.0
Jul 2025,TOTAL - JULY 2025,938844073.6
Jul 2025,TOTAL - JULY 2024,979468975.64
Jul 2025,Increase or Decrease,-40624902.04000008
Jul 2025,Percent Change,-0.0414764561720346
Jul 2025,State General Fund,755024678.4099998
Jul 2025,State Highway Fund,29605346.41
Jul 2025,State Airport Fund,253283.95
Jul 2025,Boating Special Fund,158012.83
Jul 2025,Environmental Fund,104120.84
Jul 2025,Cigarette Stamp Administrative Fund,12873.6
Jul 2025,Cigarette Stamp Enforcement Fund,96552.0
Jul 2025,Compliance Resolution Fund,2000000.0
