SERIALNO,PUMA,AGEP,SEX,HISP,RAC1P,SCHL,DIS,WAGP,SSIP,RETP,SSP,INTP,PAP,OIP,PWGTP,NP,MAR,NOC,PINCP,RELSHIPP,SPORDER,SEMP,ADJINC,state
2019GQ0000071,301,19,1,1,2,18,2,24000,0,0,0,0,0,0,23,1,5,-1,24000,38,1,0,1.207712,15
2019GQ0000092,302,27,1,23,1,21,1,22600,0,0,0,0,0,0,15,1,5,-1,22600,38,1,0,1.207712,15
2019GQ0000309,307,27,1,1,9,18,2,0,0,0,0,0,0,0,1,1,5,-1,0,37,1,0,1.207712,15
2019GQ0000584,100,95,2,1,1,16,2,0,0,0,12900,0,0,0,11,1,2,-1,12900,38,1,0,1.207712,15
2019GQ0000661,303,89,2,1,6,16,1,0,0,0,9000,0,0,0,1,1,2,-1,9000,37,1,0,1.207712,15
2019GQ0000802,301,35,1,24,8,16,2,25000,0,0,0,0,0,0,9,1,5,-1,25000,38,1,0,1.207712,15
2019GQ0001079,304,48,2,1,6,21,1,36000,0,0,0,0,0,0,1,1,3,-1,36000,38,1,0,1.207712,15
2019GQ0001381,305,33,1,1,7,18,2,0,0,0,0,0,0,0,19,1,5,-1,0,37,1,0,1.207712,15
2019GQ0001546,305,33,1,2,9,18,1,47500,0,0,0,0,0,0,3,1,5,-1,47500,37,1,0,1.207712,15
2019GQ0001812,305,18,2,1,6,19,2,8000,0,0,0,0,0,0,19,1,5,-1,8000,38,1,0,1.207712,15
2019GQ0002333,100,81,1,1,6,16,1,0,0,0,0,0,0,0,14,1,1,-1,0,37,1,0,1.207712,15
2019GQ0002401,301,19,2,1,9,19,2,2500,0,0,0,0,0,0,12,1,5,-1,2500,38,1,0,1.207712,15
2019GQ0002623,306,71,1,1,9,16,1,0,0,0,0,0,0,0,2,1,1,-1,0,37,1,0,1.207712,15
2019GQ0002749,304,19,2,1,9,19,2,7000,0,0,0,0,0,0,8,1,5,-1,7000,38,1,0,1.207712,15
2019GQ0002966,301,26,1,1,1,16,2,21600,0,0,0,0,0,0,14,1,5,-1,21600,38,1,0,1.207712,15
2019GQ0002985,304,18,2,1,6,16,2,2500,0,0,0,0,0,0,16,1,5,-1,2500,38,1,0,1.207712,15
2019GQ0003211,306,20,1,1,1,16,2,27000,0,0,0,0,0,0,14,1,5,-1,27000,38,1,0,1.207712,15
2019GQ0003258,302,21,1,1,1,16,2,21400,0,0,0,0,0,0,18,1,5,-1,21400,38,1,0,1.207712,15
2019GQ0003545,305,30,1,1,1,13,1,0,0,0,0,0,0,0,10,1,3,-1,0,38,1,0,1.207712,15
2019GQ0003867,305,21,1,1,2,16,1,0,0,0,0,0,0,0,2,1,5,-1,0,37,1,0,1.207712,15
2019GQ0003905,306,75,2,1,6,21,2,80000,0,0,2400,0,0,0,34,1,5,-1,82400,38,1,0,1.207712,15
2019GQ0003928,100,51,1,24,9,17,1,0,0,0,0,0,0,0,12,1,3,-1,0,37,1,0,1.207712,15
2019GQ0004043,302,22,1,1,1,16,2,24000,0,0,0,0,0,0,3,1,5,-1,24000,38,1,0,1.207712,15
2019GQ0004106,302,34,1,1,1,16,2,0,0,0,0,0,0,0,11,1,5,-1,0,38,1,0,1.207712,15
2019GQ0004271,200,32,2,2,8,13,2,0,0,0,8400,0,0,0,7,1,3,-1,8400,37,1,0,1.207712,15
2019GQ0004294,306,21,1,1,6,16,2,27000,0,0,0,0,0,0,12,1,5,-1,27000,38,1,0,1.207712,15
2019GQ0005064,308,41,1,1,6,16,2,0,0,0,0,0,700,0,5,1,5,-1,700,38,1,0,1.207712,15
2019GQ0005138,305,19,1,1,6,19,2,0,0,4,2000,1600,0,0,20,1,3,-1,3604,38,1,0,1.207712,15
2019GQ0005329,301,24,1,1,7,19,2,18000,0,0,0,0,0,0,5,1,1,-1,18000,38,1,0,1.207712,15
2019GQ0005677,302,22,1,1,3,16,2,22600,0,0,0,0,0,0,3,1,5,-1,22600,38,1,0,1.207712,15
2019GQ0005835,301,21,1,1,6,16,2,21600,0,0,0,0,0,0,12,1,5,-1,21600,38,1,0,1.207712,15
2019GQ0006643,303,92,2,1,6,16,1,0,0,0,25700,0,0,0,2,1,2,-1,25700,37,1,0,1.207712,15
2019GQ0006666,308,40,1,1,6,16,1,0,0,0,0,0,0,0,13,1,5,-1,0,37,1,0,1.207712,15
