SERIALNO,PUMA,HINCP,WGTP,NP,state
2019GQ0000071,301,-60000,0,1,15
2019GQ0000092,302,-60000,0,1,15
2019GQ0000309,307,-60000,0,1,15
2019GQ0000584,100,-60000,0,1,15
2019GQ0000661,303,-60000,0,1,15
2019GQ0000802,301,-60000,0,1,15
2019GQ0001079,304,-60000,0,1,15
2019GQ0001381,305,-60000,0,1,15
2019GQ0001546,305,-60000,0,1,15
2019GQ0001812,305,-60000,0,1,15
2019GQ0002333,100,-60000,0,1,15
2019GQ0002401,301,-60000,0,1,15
2019GQ0002623,306,-60000,0,1,15
2019GQ0002749,304,-60000,0,1,15
2019GQ0002966,301,-60000,0,1,15
2019GQ0002985,304,-60000,0,1,15
2019GQ0003211,306,-60000,0,1,15
2019GQ0003258,302,-60000,0,1,15
2019GQ0003545,305,-60000,0,1,15
2019GQ0003867,305,-60000,0,1,15
2019GQ0003905,306,-60000,0,1,15
2019GQ0003928,100,-60000,0,1,15
2019GQ0004043,302,-60000,0,1,15
2019GQ0004106,302,-60000,0,1,15
2019GQ0004271,200,-60000,0,1,15
2019GQ0004294,306,-60000,0,1,15
2019GQ0005064,308,-60000,0,1,15
2019GQ0005138,305,-60000,0,1,15
2019GQ0005329,301,-60000,0,1,15
2019GQ0005677,302,-60000,0,1,15
2019GQ0005835,301,-60000,0,1,15
2019GQ0006643,303,-60000,0,1,15
2019GQ0006666,308,-60000,0,1,15
2019GQ0006689,200,-60000,0,1,15
2019GQ0007502,303,-60000,0,1,15
2019GQ0007721,305,-60000,0,1,15
2019GQ0007807,302,-60000,0,1,15
2019GQ0007895,302,-60000,0,1,15
2019GQ0007983,307,-60000,0,1,15
2019GQ0008093,306,-60000,0,1,15
2019GQ0008226,301,-60000,0,1,15
2019GQ0008765,306,-60000,0,1,15
2019GQ0009331,301,-60000,0,1,15
2019GQ0009476,302,-60000,0,1,15
2019GQ0009493,304,-60000,0,1,15
2019GQ0009547,304,-60000,0,1,15
2019GQ0009947,303,-60000,0,1,15
2019GQ0010155,306,-60000,0,1,15
2019GQ0010479,304,-60000,0,1,15
2019GQ0010817,304,-60000,0,1,15
2019GQ0010889,307,-60000,0,1,15
2019GQ0011394,302,-60000,0,1,15
2019GQ0011413,100,-60000,0,1,15
2019GQ0011455,301,-60000,0,1,15
2019GQ0011622,305,-60000,0,1,15
2019GQ0011706,301,-60000,0,1,15
2019GQ0011777,308,-60000,0,1,15
2019GQ0011820,303,-60000,0,1,15
2019GQ0011892,302,-60000,0,1,15
2019GQ0012043,306,-60000,0,1,15
2019GQ0012062,100,-60000,0,1,15
2019GQ0012130,302,-60000,0,1,15
2019GQ0012237,305,-60000,0,1,15
2019GQ0012262,301,-60000,0,1,15
2019GQ0012503,304,-60000,0,1,15
2019GQ0012847,302,-60000,0,1,15
2019GQ0012982,302,-60000,0,1,15
2019GQ0012985,304,-60000,0,1,15
2019GQ0013095,305,-60000,0,1,15
2019GQ0013102,301,-60000,0,1,15
2019GQ0013190,307,-60000,0,1,15
2019GQ0013304,100,-60000,0,1,15
2019GQ0013582,301,-60000,0,1,15
2019GQ0013629,200,-60000,0,1,15
2019GQ0013740,307,-60000,0,1,15
2019GQ0013787,305,-60000,0,1,15
2019GQ0013844,200,-60000,0,1,15
2019GQ0014150,304,-60000,0,1,15
2019GQ0014331,301,-60000,0,1,15
2019GQ0014375,304,-60000,0,1,15
2019GQ0014377,301,-60000,0,1,15
2019GQ0014573,307,-60000,0,1,15
2019GQ0014720,301,-60000,0,1,15
2019GQ0015044,307,-60000,0,1,15
2019GQ0015388,306,-60000,0,1,15
2019GQ0015827,306,-60000,0,1,15
2019GQ0016143,100,-60000,0,1,15
2019GQ0016260,305,-60000,0,1,15
2019GQ0016856,304,-60000,0,1,15
2019GQ0016885,302,-60000,0,1,15
2019GQ0017541,304,-60000,0,1,15
2019GQ0017544,302,-60000,0,1,15
2019GQ0017970,301,-60000,0,1,15
2019GQ0018078,307,-60000,0,1,15
2019GQ0018358,305,-60000,0,1,15
2019GQ0018393,305,-60000,0,1,15
2019GQ0018595,306,-60000,0,1,15
2019GQ0018794,305,-60000,0,1,15
2019GQ0018843,200,-60000,0,1,15
2019GQ0018869,302,-60000,0,1,15
2019GQ0019001,302,-60000,0,1,15
2019GQ0019039,305,-60000,0,1,15
2019GQ0019060,100,-60000,0,1,15
2019GQ0019581,100,-60000,0,1,15
2019GQ0019889,307,-60000,0,1,15
2019GQ0020133,305,-60000,0,1,15
2019GQ0020155,306,-60000,0,1,15
2019GQ0020356,304,-60000,0,1,15
2019GQ0020377,301,-60000,0,1,15
2019GQ0020664,301,-60000,0,1,15
2019GQ0020774,308,-60000,0,1,15
2019GQ0021085,306,-60000,0,1,15
2019GQ0021139,301,-60000,0,1,15
2019GQ0021193,100,-60000,0,1,15
2019GQ0021455,305,-60000,0,1,15
2019GQ0021547,302,-60000,0,1,15
2019GQ0021871,304,-60000,0,1,15
2019GQ0021892,301,-60000,0,1,15
2019GQ0022057,303,-60000,0,1,15
2019GQ0022220,304,-60000,0,1,15
2019GQ0022293,100,-60000,0,1,15
2019GQ0022404,100,-60000,0,1,15
2019GQ0022695,302,-60000,0,1,15
2019GQ0022954,301,-60000,0,1,15
2019GQ0023245,303,-60000,0,1,15
2019GQ0023267,301,-60000,0,1,15
2019GQ0023319,305,-60000,0,1,15
2019GQ0023377,303,-60000,0,1,15
2019GQ0023844,306,-60000,0,1,15
2019GQ0023850,305,-60000,0,1,15
2019GQ0023988,302,-60000,0,1,15
2019GQ0024208,302,-60000,0,1,15
2019GQ0024288,100,-60000,0,1,15
2019GQ0024629,302,-60000,0,1,15
2019GQ0024679,307,-60000,0,1,15
2019GQ0024811,301,-60000,0,1,15
2019GQ0025144,305,-60000,0,1,15
2019GQ0025448,307,-60000,0,1,15
2019GQ0025567,304,-60000,0,1,15
2019GQ0025914,301,-60000,0,1,15
2019GQ0026361,304,-60000,0,1,15
2019GQ0026594,301,-60000,0,1,15
2019GQ0027192,200,-60000,0,1,15
2019GQ0027354,306,-60000,0,1,15
2019GQ0027546,301,-60000,0,1,15
2019GQ0027762,305,-60000,0,1,15
2019GQ0027831,308,-60000,0,1,15
2019GQ0027838,200,-60000,0,1,15
2019GQ0027847,100,-60000,0,1,15
2019GQ0028574,301,-60000,0,1,15
2019GQ0028710,307,-60000,0,1,15
2019GQ0029034,304,-60000,0,1,15
2019GQ0029279,306,-60000,0,1,15
2019GQ0029656,306,-60000,0,1,15
2019GQ0029660,200,-60000,0,1,15
2019GQ0029835,302,-60000,0,1,15
2019GQ0029865,301,-60000,0,1,15
2019GQ0029937,304,-60000,0,1,15
2019GQ0030013,301,-60000,0,1,15
2019GQ0030039,306,-60000,0,1,15
2019GQ0030287,301,-60000,0,1,15
2019GQ0030362,306,-60000,0,1,15
2019GQ0030626,302,-60000,0,1,15
2019GQ0030694,305,-60000,0,1,15
2019GQ0031228,307,-60000,0,1,15
2019GQ0031338,100,-60000,0,1,15
2019GQ0031564,306,-60000,0,1,15
2019GQ0031625,301,-60000,0,1,15
2019GQ0031686,305,-60000,0,1,15
2019GQ0031948,200,-60000,0,1,15
2019GQ0032213,306,-60000,0,1,15
2019GQ0032305,306,-60000,0,1,15
2019GQ0032429,306,-60000,0,1,15
2019GQ0032578,100,-60000,0,1,15
2019GQ0032635,200,-60000,0,1,15
2019GQ0032799,304,-60000,0,1,15
2019GQ0033113,304,-60000,0,1,15
2019GQ0033227,304,-60000,0,1,15
2019GQ0033285,100,-60000,0,1,15
2019GQ0033313,305,-60000,0,1,15
2019GQ0033383,306,-60000,0,1,15
2019GQ0033481,308,-60000,0,1,15
2019GQ0033856,301,-60000,0,1,15
2019GQ0033949,301,-60000,0,1,15
2019GQ0034111,100,-60000,0,1,15
2019GQ0034326,301,-60000,0,1,15
2019GQ0034636,302,-60000,0,1,15
2019GQ0035195,301,-60000,0,1,15
2019GQ0035296,301,-60000,0,1,15
2019GQ0035478,100,-60000,0,1,15
2019GQ0035849,200,-60000,0,1,15
2019GQ0035856,302,-60000,0,1,15
2019GQ0036012,200,-60000,0,1,15
2019GQ0036030,305,-60000,0,1,15
2019GQ0036143,200,-60000,0,1,15
2019GQ0036205,304,-60000,0,1,15
2019GQ0036392,308,-60000,0,1,15
2019GQ0036479,304,-60000,0,1,15
2019GQ0036649,302,-60000,0,1,15
2019GQ0036680,301,-60000,0,1,15
2019GQ0036856,301,-60000,0,1,15
2019GQ0036980,301,-60000,0,1,15
2019GQ0037140,301,-60000,0,1,15
2019GQ0037895,301,-60000,0,1,15
2019GQ0037957,302,-60000,0,1,15
2019GQ0038077,306,-60000,0,1,15
2019GQ0038202,200,-60000,0,1,15
2019GQ0038266,304,-60000,0,1,15
2019GQ0038273,306,-60000,0,1,15
2019GQ0038296,306,-60000,0,1,15
2019GQ0038787,301,-60000,0,1,15
2019GQ0039342,302,-60000,0,1,15
2019GQ0039613,304,-60000,0,1,15
2019GQ0039730,200,-60000,0,1,15
2019GQ0040287,301,-60000,0,1,15
2019GQ0040297,302,-60000,0,1,15
2019GQ0040298,301,-60000,0,1,15
2019GQ0040499,306,-60000,0,1,15
2019GQ0040559,100,-60000,0,1,15
2019GQ0040832,301,-60000,0,1,15
2019GQ0041281,301,-60000,0,1,15
2019GQ0041436,304,-60000,0,1,15
2019GQ0041739,304,-60000,0,1,15
2019GQ0041839,305,-60000,0,1,15
2019GQ0041907,306,-60000,0,1,15
2019GQ0042321,304,-60000,0,1,15
2019GQ0042874,306,-60000,0,1,15
2019GQ0043111,100,-60000,0,1,15
2019GQ0043238,305,-60000,0,1,15
2019GQ0043266,304,-60000,0,1,15
2019GQ0043431,302,-60000,0,1,15
2019GQ0043732,308,-60000,0,1,15
2019GQ0043874,306,-60000,0,1,15
2019GQ0043935,200,-60000,0,1,15
2019GQ0044348,307,-60000,0,1,15
2019GQ0044449,306,-60000,0,1,15
2019GQ0044849,305,-60000,0,1,15
2019GQ0045279,304,-60000,0,1,15
2019GQ0045350,100,-60000,0,1,15
2019GQ0045355,100,-60000,0,1,15
2019GQ0045372,200,-60000,0,1,15
2019GQ0045436,301,-60000,0,1,15
2019GQ0045442,305,-60000,0,1,15
2019GQ0045947,301,-60000,0,1,15
2019GQ0046043,304,-60000,0,1,15
2019GQ0046191,305,-60000,0,1,15
2019GQ0046364,304,-60000,0,1,15
2019GQ0046453,306,-60000,0,1,15
2019GQ0046531,306,-60000,0,1,15
2019GQ0046755,302,-60000,0,1,15
2019GQ0046777,100,-60000,0,1,15
2019GQ0046840,301,-60000,0,1,15
2019GQ0046852,306,-60000,0,1,15
2019GQ0046930,305,-60000,0,1,15
2019GQ0047111,306,-60000,0,1,15
2019GQ0047278,306,-60000,0,1,15
2019GQ0047483,304,-60000,0,1,15
